region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 1 - Laoag City, Ilocos Norte is composed of the following City an",,"Oct. 6, 2023",4TH,ILOCOS NORTE,ADAMS,ADAMS,(SITIOS MALAGGAO AND SINIDANGAN),ALONG BRGY. ROAD,RR,Residential - Regular,290.0
raw,"RDO No. 1 - Laoag City, Ilocos Norte is composed of the following City an",,"Oct. 6, 2023",4TH,ILOCOS NORTE,ADAMS,ADAMS,(SITIOS MALAGGAO AND SINIDANGAN),ALONG BRGY. ROAD,A1,Agricultural - A1,220.0
raw,"RDO No. 1 - Laoag City, Ilocos Norte is composed of the following City an",,"Oct. 6, 2023",4TH,ILOCOS NORTE,ADAMS,ADAMS,(SITIOS MALAGGAO AND SINIDANGAN),ALONG BRGY. ROAD,A2,Agricultural - A2,200.0
raw,"RDO No. 1 - Laoag City, Ilocos Norte is composed of the following City an",,"Oct. 6, 2023",4TH,ILOCOS NORTE,ADAMS,ADAMS,(SITIOS MALAGGAO AND SINIDANGAN),ALONG BRGY. ROAD,A15,Agricultural - A15,170.0
raw,"RDO No. 1 - Laoag City, Ilocos Norte is composed of the following City an",,"Oct. 6, 2023",4TH,ILOCOS NORTE,ADAMS,ADAMS,(SITIOS MALAGGAO AND SINIDANGAN),ALONG BRGY. ROAD,A22,Agricultural - A22,200.0
raw,"RDO No. 1 - Laoag City, Ilocos Norte is composed of the following City an",,"Oct. 6, 2023",4TH,ILOCOS NORTE,ADAMS,ADAMS,(SITIOS MALAGGAO AND SINIDANGAN),ALONG BRGY. ROAD,A36,Agricultural - A36,150.0
raw,"RDO No. 1 - Laoag City, Ilocos Norte is composed of the following City an",,"Oct. 6, 2023",4TH,ILOCOS NORTE,ADAMS,ADAMS,(SITIOS MALAGGAO AND SINIDANGAN),ALONG BRGY. ROAD,A47,Agricultural - A47,190.0
raw,"RDO No. 1 - Laoag City, Ilocos Norte is composed of the following City an",,"Oct. 6, 2023",4TH,ILOCOS NORTE,ADAMS,ADAMS,(SITIOS MALAGGAO AND SINIDANGAN),ALONG BRGY. ROAD,A50,Agricultural - A50,130.0
raw,"RDO No. 1 - Laoag City, Ilocos Norte is composed of the following City an",,"Oct. 6, 2023",4TH,ILOCOS NORTE,ADAMS,ADAMS,(SITIOS MALAGGAO AND SINIDANGAN),INTERIOR,RR,Residential - Regular,230.0
raw,"RDO No. 1 - Laoag City, Ilocos Norte is composed of the following City an",,"Oct. 6, 2023",4TH,ILOCOS NORTE,ADAMS,ADAMS,(SITIOS MALAGGAO AND SINIDANGAN),INTERIOR,A1,Agricultural - A1,190.0
