region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,X,Special / Other,122.9145
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,RR,Residential - Regular,115.38365
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,CL,Cemetery Lot,110.5195
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A1,Agricultural - A1,82.496
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A2,Agricultural - A2,33.882400000000004
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A4,Agricultural - A4,34.90445
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A7,Agricultural - A7,23.93385
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A13,Agricultural - A13,21.941200000000002
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A14,Agricultural - A14,21.54561
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A15,Agricultural - A15,34.936
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A16,Agricultural - A16,26.9265
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A18,Agricultural - A18,55.36035
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A23,Agricultural - A23,17.4559
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A44,Agricultural - A44,20.448549999999997
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A47,Agricultural - A47,21.441200000000002
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A48,Agricultural - A48,18.948549999999997
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALL OTHER LOTS,INTERIOR,A49,Agricultural - A49,11.470600000000001
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALONG BARANGAY ROADS,FRONTING,CR,Commercial - Regular,202.0276
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALONG BARANGAY ROADS,CHUPAC BARANGAY ROAD,I,Industrial,202.0276
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALONG BARANGAY ROADS,CHUPAC BARANGAY ROAD,X,Special / Other,190.929
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALONG BARANGAY ROADS,CHUPAC BARANGAY ROAD,RR,Residential - Regular,184.9344
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALONG BARANGAY ROADS,CHUPAC BARANGAY ROAD,GP,General Purpose,156.21319999999997
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALONG BARANGAY ROADS,CHUPAC BARANGAY ROAD,A1,Agricultural - A1,73.12780000000001
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALONG BARANGAY ROADS,CHUPAC BARANGAY ROAD,A2,Agricultural - A2,57.6856
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALONG BARANGAY ROADS,CHUPAC BARANGAY ROAD,A3,Agricultural - A3,32.9632
raw,"RDO No. 10 - Bontoc, Mt. Province is composed of the following Municipalit",044-2022,"Aug. 5, 2022",2ND,MOUNTAIN PROVINCE,BARLIG,CHUPAC,ALONG BARANGAY ROADS,CHUPAC BARANGAY ROAD,A5,Agricultural - A5,26.57056
