region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 100 - Ozamiz City, Misamis Occidental  is composed of the following",,,,,,50TH BARANGAY,ABANIL ST,MABINI ST. TO CARANGAN CREEK,CR,Commercial - Regular,3125.0
raw,"RDO No. 100 - Ozamiz City, Misamis Occidental  is composed of the following",,,,,,50TH BARANGAY,BURGOS ST,RIZAL-CARANGAN CREEK,CR,Commercial - Regular,7000.0
raw,"RDO No. 100 - Ozamiz City, Misamis Occidental  is composed of the following",,,,,,50TH BARANGAY,BURGOS ST,BURGOS ST. TO RIZAL AVE.,CR,Commercial - Regular,5375.0
raw,"RDO No. 100 - Ozamiz City, Misamis Occidental  is composed of the following",,,,,,50TH BARANGAY,CAPISTRANO ST.,MABINI ST-RIZAL AVE.,CR,Commercial - Regular,6000.0
raw,"RDO No. 100 - Ozamiz City, Misamis Occidental  is composed of the following",,,,,,50TH BARANGAY,CAPISTRANO ST.,RIZAL AVE-ZAMORA ST.,CR,Commercial - Regular,7000.0
raw,"RDO No. 100 - Ozamiz City, Misamis Occidental  is composed of the following",,,,,,50TH BARANGAY,CEBEDO ST,RIZAL AVE-ZAMORA ST.,CR,Commercial - Regular,7000.0
raw,"RDO No. 100 - Ozamiz City, Misamis Occidental  is composed of the following",,,,,,50TH BARANGAY,DON ANSELMO BERNAD,MABINI ST-RIZAL AVE.,CR,Commercial - Regular,7000.0
raw,"RDO No. 100 - Ozamiz City, Misamis Occidental  is composed of the following",,,,,,50TH BARANGAY,DON R. CARPIO GALLARDO,DABA TO VALCONCHA ST,CR,Commercial - Regular,3875.0
raw,"RDO No. 100 - Ozamiz City, Misamis Occidental  is composed of the following",,,,,,50TH BARANGAY,DON R. CARPIO GALLARDO,VALCONCHA S TO CREEK,CR,Commercial - Regular,3500.0
raw,"RDO No. 100 - Ozamiz City, Misamis Occidental  is composed of the following",,,,,,50TH BARANGAY,GALLARDO ST.,ZULUETA ST-VALCONCHA ST.,CR,Commercial - Regular,7000.0
raw,"RDO No. 100 - Ozamiz City, Misamis Occidental  is composed of the following",,,,,,50TH BARANGAY,GALLARDO ST.,VALCONCHA ST-CREEK,CR,Commercial - Regular,6000.0
