region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,"1298, 1310, 1312, 1744, 1294, 1293",ALL OTHER STREETS,LOTS ALONG BARANGAY ROAD,RR,Residential - Regular,400.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,"1298, 1310, 1312, 1744, 1294, 1293",ALL OTHER STREETS,OTHER RESIDENTIAL LOTS,RR,Residential - Regular,250.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,"1298, 1310, 1312, 1744, 1294, 1293",ALL OTHER STREETS,OTHER RESIDENTIAL LOTS,A4,Agricultural - A4,11.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,"1298, 1310, 1312, 1744, 1294, 1293",ALL OTHER STREETS,OTHER RESIDENTIAL LOTS,A14,Agricultural - A14,7.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,"1298, 1310, 1312, 1744, 1294, 1293",ALL OTHER STREETS,OTHER RESIDENTIAL LOTS,A16,Agricultural - A16,7.5
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,"1298, 1310, 1312, 1744, 1294, 1293",ALL OTHER STREETS,INTERIOR,A4,Agricultural - A4,9.5
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,"1298, 1310, 1312, 1744, 1294, 1293",ALL OTHER STREETS,INTERIOR,A14,Agricultural - A14,5.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,"1298, 1310, 1312, 1744, 1294, 1293",ALL OTHER STREETS,INTERIOR,A16,Agricultural - A16,5.5
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,"1298, 1310, 1312, 1744, 1294, 1293",ALL OTHER STREETS,INTERIOR,A31,Agricultural - A31,2.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,"1298, 1310, 1312, 1744, 1294, 1293",ALL OTHER STREETS,INTERIOR,A50,Agricultural - A50,3.5
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,ABUNO,ALL LOTS,BARANGAY ROAD,RR,Residential - Regular,250.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,ABUNO,ALL LOTS,OTHER RESIDENTIAL LOTS,RR,Residential - Regular,200.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,ABUNO,ALL LOTS,OTHER RESIDENTIAL LOTS,A4,Agricultural - A4,7.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,ABUNO,ALL LOTS,OTHER RESIDENTIAL LOTS,A14,Agricultural - A14,4.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,ABUNO,ALL LOTS,OTHER RESIDENTIAL LOTS,A16,Agricultural - A16,6.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,ABUNO,ALL LOTS,INTERIOR,A3,Agricultural - A3,5.5
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,ABUNO,ALL LOTS,INTERIOR,A4,Agricultural - A4,5.5
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,ABUNO,ALL LOTS,INTERIOR,A14,Agricultural - A14,3.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,ABUNO,ALL LOTS,INTERIOR,A16,Agricultural - A16,5.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,ABUNO,ALL LOTS,INTERIOR,A31,Agricultural - A31,2.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,2ND,,,ABUNO,ALL LOTS,INTERIOR,A50,Agricultural - A50,2.5
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,1ST,,,ABUNO,ALL LOTS,BARANGAY ROAD,RR,Residential - Regular,100.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,1ST,,,ABUNO,ALL LOTS,OTHER RESIDENTIAL LOTS,RR,Residential - Regular,90.0
raw,"RDO NO. 101 - Iligan City, Lanao Del Norte is composed of the following Cit",,,1ST,,,ABUNO,ALL LOTS,OTHER RESIDENTIAL LOTS,A4,Agricultural - A4,4.0
