region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,ALONG CITY ROAD**,GUIMBA,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY*,X,Special / Other,3000.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,ALONG CITY ROAD**,GUIMBA,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY*,RR,Residential - Regular,2000.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,APARPORT**,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY***,CR,Commercial - Regular,3800.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,APARPORT**,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY***,I,Industrial,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,APARPORT**,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY***,X,Special / Other,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,APARPORT**,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY***,RR,Residential - Regular,3300.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,COMARA**,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY***,CR,Commercial - Regular,3800.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,COMARA**,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY***,I,Industrial,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,COMARA**,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY***,X,Special / Other,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,COMARA**,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY***,RR,Residential - Regular,3300.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,FRANKFORT,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,CR,Commercial - Regular,3800.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,FRANKFORT,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,I,Industrial,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,FRANKFORT,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,X,Special / Other,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,FRANKFORT,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,RR,Residential - Regular,3300.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,LICO,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,CR,Commercial - Regular,3800.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,LICO,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,I,Industrial,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,LICO,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,X,Special / Other,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,LICO,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,RR,Residential - Regular,3300.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,MANSILANO,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,CR,Commercial - Regular,3800.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,MANSILANO,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,I,Industrial,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,MANSILANO,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,X,Special / Other,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,MANSILANO,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,RR,Residential - Regular,3300.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,NATANGCOP,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,CR,Commercial - Regular,3800.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,NATANGCOP,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,I,Industrial,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,NATANGCOP,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,X,Special / Other,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,NATANGCOP,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,RR,Residential - Regular,3300.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,PAGALAMATAN,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,CR,Commercial - Regular,3800.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,PAGALAMATAN,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,I,Industrial,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,PAGALAMATAN,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,X,Special / Other,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,PAGALAMATAN,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,RR,Residential - Regular,3300.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,POBLACION,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,CR,Commercial - Regular,3800.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,POBLACION,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,I,Industrial,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,POBLACION,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,X,Special / Other,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,POBLACION,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,RR,Residential - Regular,3300.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,PUNUD,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,CR,Commercial - Regular,3800.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,PUNUD,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,I,Industrial,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,PUNUD,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,X,Special / Other,3600.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,PUNUD,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,RR,Residential - Regular,3300.0
raw,"RDO NO. 102 - Marawi City, Lanao Del Sur  is composed of the following City",,,1ST,LANAO DEL SUR,AMAI MANABILANG*,RANAO-BANIG,NATIONAL HIGHWAY,ALONG NATIONAL HIGHWAY**,CR,Commercial - Regular,3800.0
