region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,AGAO,DURANO ST,SIM BIR 005 B4 5 SO2,CR,Commercial - Regular,480.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,AGAO,J LUNA ST,SIM BIR 005 B1 SECO1,CR,Commercial - Regular,930.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,AGAO,J LUNA ST,SIM BIR 005 B4 5 SO2,CR,Commercial - Regular,930.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,AGAO,M CALO ST,SIM BIR 005 B1 2 SO1,CR,Commercial - Regular,580.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,AGAO,M CALO ST,SIM BIR 005 B4 6 SO2,CR,Commercial - Regular,450.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,AGAO,NOLI ME TANGERE,SIM BIR 005 B1 2 SO1,CR,Commercial - Regular,580.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,AGAO,NOLI ME TANGERE,SIM BIR 005 B3 SECO1,CR,Commercial - Regular,530.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,AGAO,NOLI ME TANGERE,SIM BIR 005 B4 SO2,CR,Commercial - Regular,580.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,AGAO,NOLI ME TANGERE,SIM BIR 005 B6 SECO2,CR,Commercial - Regular,530.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,AGAO,SILONGAN ST,SIM BIR 005 B2 3 SO1,CR,Commercial - Regular,400.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,AGAO,T SANCHEZ ST,SIM BIR 005 B1 2 SO1,CR,Commercial - Regular,580.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,AGAO,T SANCHEZ ST,SIM BIR 005 B3 SECO1,CR,Commercial - Regular,530.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,BAAN RIVERSIDE,BAAN RIVERSIDE,SIM BIR 22 SEC 20A,RR,Residential - Regular,60.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,BAAN RIVERSIDE,BAAN RIVERSIDE,SIM BIR 22 SEC 20A,A1,Agricultural - A1,3.5
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,BAAN RIVERSIDE,BAAN RIVERSIDE,SIM BIR 22 SEC 20A,A2,Agricultural - A2,2.0
raw,"RDO NO. 103 - Butuan City, Agusan Del Norte  is composed of the following C",,,,,,BAAN RIVERSIDE,BAAN RIVERSIDE,SIM BIR 22 SEC 20A,A3,Agricultural - A3,1.5
