region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,CAGBAS,Marrea Homes Subdivision,,RR,Residential - Regular,7000.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,CANAYUGAN,NATIONAL HIGHWAY,,CR,Commercial - Regular,2500.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,CANAYUGAN,NATIONAL HIGHWAY,,RR,Residential - Regular,1750.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,CANAYUGAN,NATIONAL HIGHWAY,,RR,Residential - Regular,1300.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,,:    AGUSAN DEL SUR,BAYUGAN CITY,CANAYUGAN,NATIONAL HIGHWAY,,RR,Residential - Regular,125.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,ALL LOTS,,A1,Agricultural - A1,80.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,ALL LOTS,,A2,Agricultural - A2,65.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,ALL LOTS,,A4,Agricultural - A4,43.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,ALL LOTS,,A5,Agricultural - A5,26.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,ALL LOTS,,A12,Agricultural - A12,55.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,ALL LOTS,,A14,Agricultural - A14,35.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,ALL LOTS,,A16,Agricultural - A16,43.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,ALL LOTS,,A19,Agricultural - A19,37.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,ALL LOTS,,A25,Agricultural - A25,37.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,ALL LOTS,,A35,Agricultural - A35,55.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,ALL LOTS,,A44,Agricultural - A44,46.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,ALL LOTS,,A50,Agricultural - A50,24.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,CR,Commercial - Regular,4350.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,4TH,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,RR,Residential - Regular,3200.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,RR,Residential - Regular,1964.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A1,Agricultural - A1,44.8
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A2,Agricultural - A2,37.8
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A4,Agricultural - A4,27.3
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A5,Agricultural - A5,15.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A16,Agricultural - A16,24.8
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A14,Agricultural - A14,20.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A50,Agricultural - A50,13.5
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A12,Agricultural - A12,31.5
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A19,Agricultural - A19,21.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A25,Agricultural - A25,21.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A35,Agricultural - A35,39.9
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,3RD,AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A44,Agricultural - A44,28.400000000000002
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,,:    AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,RR,Residential - Regular,175.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,,:    AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A1,Agricultural - A1,18.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,,:    AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A2,Agricultural - A2,15.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,,:    AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A4,Agricultural - A4,7.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,,:    AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A5,Agricultural - A5,5.5
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,,:    AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A16,Agricultural - A16,7.0
Quick Links - Zonal Values - Revenue Region 17 - Butuan City,"RDO No. 104 - Bayugan City, Agusan Del Sur is composed of the following Cit",,,,:    AGUSAN DEL SUR,BAYUGAN CITY,FILI,NATIONAL HIGHWAY,,A14,Agricultural - A14,5.5
