region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,ALONG THE ROAD,RR,Residential - Regular,445.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,RR,Residential - Regular,280.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A1,Agricultural - A1,50.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A2,Agricultural - A2,37.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A4,Agricultural - A4,30.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A6,Agricultural - A6,56.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A7,Agricultural - A7,12.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A8,Agricultural - A8,35.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A10,Agricultural - A10,13.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A12,Agricultural - A12,20.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A13,Agricultural - A13,20.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A14,Agricultural - A14,23.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A15,Agricultural - A15,14.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A16,Agricultural - A16,35.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A23,Agricultural - A23,20.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A24,Agricultural - A24,17.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A25,Agricultural - A25,35.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,ALONG THE ROAD,A31,Agricultural - A31,56.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A31,Agricultural - A31,42.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,ALONG THE ROAD,A32,Agricultural - A32,25.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A32,Agricultural - A32,17.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A36,Agricultural - A36,20.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A39,Agricultural - A39,35.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A47,Agricultural - A47,13.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A49,Agricultural - A49,9.0
raw,"RDO No. 105 - Surigao City, Surigao Del Norte is composed of the folowing C",,,,/CITY/MUNICIPALITY/BARANGAYS,,,ALL LOTS,WITHOUT ROAD ACCESS**,A50,Agricultural - A50,9.0
