region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 106 - Tandag City, Surigao Del Sur is composed of the following Cit",,,4TH,SURIGAO DEL SUR,BAROBO,AMAGA,NATIONAL HIGHWAY,,RR,Residential - Regular,1500.0
raw,"RDO NO. 106 - Tandag City, Surigao Del Sur is composed of the following Cit",,,4TH,SURIGAO DEL SUR,BAROBO,AMAGA,NATIONAL HIGHWAY,,A4,Agricultural - A4,35.0
raw,"RDO NO. 106 - Tandag City, Surigao Del Sur is composed of the following Cit",,,4TH,SURIGAO DEL SUR,BAROBO,BAHI,NATIONAL HIGHWAY,,RR,Residential - Regular,1200.0
raw,"RDO NO. 106 - Tandag City, Surigao Del Sur is composed of the following Cit",,,4TH,SURIGAO DEL SUR,BAROBO,BAHI,NATIONAL HIGHWAY,,A4,Agricultural - A4,35.0
raw,"RDO NO. 106 - Tandag City, Surigao Del Sur is composed of the following Cit",,,4TH,SURIGAO DEL SUR,BAROBO,CABACUNGAN,POBLACION ROADS,,RR,Residential - Regular,1000.0
raw,"RDO NO. 106 - Tandag City, Surigao Del Sur is composed of the following Cit",,,4TH,SURIGAO DEL SUR,BAROBO,CABACUNGAN,POBLACION ROADS,,A4,Agricultural - A4,30.0
raw,"RDO NO. 106 - Tandag City, Surigao Del Sur is composed of the following Cit",,,4TH,SURIGAO DEL SUR,BAROBO,CABACUNGAN,POBLACION ROADS,,A10,Agricultural - A10,20.0
raw,"RDO NO. 106 - Tandag City, Surigao Del Sur is composed of the following Cit",,,4TH,SURIGAO DEL SUR,BAROBO,CABACUNGAN,POBLACION ROADS,,A44,Agricultural - A44,15.0
raw,"RDO NO. 106 - Tandag City, Surigao Del Sur is composed of the following Cit",,,4TH,SURIGAO DEL SUR,BAROBO,CABACUNGAN,POBLACION ROADS,,A50,Agricultural - A50,15.0
raw,"RDO NO. 106 - Tandag City, Surigao Del Sur is composed of the following Cit",,,4TH,SURIGAO DEL SUR,BAROBO,CABACUNGAN,POBLACION ROADS,BEACH FRONT,CR,Commercial - Regular,3500.0
