region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,,,2ND,MAGUINDANAO,AMPATUAN,DICALONGAN (POBLACION),ALL LOTS,ALONG THE ROAD,RR,Residential - Regular,83.0
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,,,2ND,MAGUINDANAO,AMPATUAN,DICALONGAN (POBLACION),ALL LOTS,ALONG THE ROAD,CR,Commercial - Regular,132.0
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,,,2ND,MAGUINDANAO,AMPATUAN,DICALONGAN (POBLACION),ALL LOTS,ALONG THE ROAD,I,Industrial,116.0
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,,,2ND,MAGUINDANAO,AMPATUAN,DICALONGAN (POBLACION),ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,67.0
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,,,2ND,MAGUINDANAO,AMPATUAN,DICALONGAN (POBLACION),ALL LOTS,INTERIOR LOTS,CR,Commercial - Regular,116.0
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,,,2ND,MAGUINDANAO,AMPATUAN,DICALONGAN (POBLACION),ALL LOTS,INTERIOR LOTS,I,Industrial,99.0
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,,,2ND,MAGUINDANAO,AMPATUAN,DICALONGAN (POBLACION),ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,4.15
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,,,2ND,MAGUINDANAO,AMPATUAN,DICALONGAN (POBLACION),ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,3.05
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,,,2ND,MAGUINDANAO,AMPATUAN,DICALONGAN (POBLACION),ALL LOTS,INTERIOR LOTS,A3,Agricultural - A3,2.15
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,,,2ND,MAGUINDANAO,AMPATUAN,DICALONGAN (POBLACION),ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,3.05
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,,,2ND,MAGUINDANAO,AMPATUAN,DICALONGAN (POBLACION),ALL LOTS,INTERIOR LOTS,A16,Agricultural - A16,2.0
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,,,2ND,MAGUINDANAO,AMPATUAN,DICALONGAN (POBLACION),ALL LOTS,INTERIOR LOTS,A50,Agricultural - A50,2.0
raw,RDO No. 107 - Cotabato City is composed of the following City and Municipal,053 - 2022,"Sept. 2, 2022",3RD,MAGUINDANAO,AMPATUAN,KAKAL,ALL LOTS,ALONG THE ROAD,CR,Commercial - Regular,396.0
