region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,ALONG PROVINCIAL ROAD,CR,Commercial - Regular,800.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,ALONG PROVINCIAL ROAD,X,Special / Other,700.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,ALONG PROVINCIAL ROAD,RR,Residential - Regular,600.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,ALONG BARANGAY ROAD,RR,Residential - Regular,500.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,400.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,CL,Cemetery Lot,400.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,60.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,40.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,A3,Agricultural - A3,25.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,35.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,A6,Agricultural - A6,15.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,A10,Agricultural - A10,15.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,A12,Agricultural - A12,25.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,A14,Agricultural - A14,37.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,A15,Agricultural - A15,15.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,A16,Agricultural - A16,30.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,A17,Agricultural - A17,30.0
raw,"RDO No. 108 - Kidapawan City, North Cotabato is composed of the following C",009-2023,"March 25, 2023",3RD,: COTABATO,ALAMADA,BAO,ALL LOTS,INTERIOR LOTS,A19,Agricultural - A19,30.0
