region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,(CONTINUATION),"BULO, IPIL, LACBOG AND NAMBARAN",ALL LOTS,,RR,Residential - Regular,30.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,(CONTINUATION),"BULO, IPIL, LACBOG AND NAMBARAN",ALL LOTS,,A1,Agricultural - A1,6.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,(CONTINUATION),"BULO, IPIL, LACBOG AND NAMBARAN",ALL LOTS,,A2,Agricultural - A2,2.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,(CONTINUATION),"CABARITAN, GOBGOB, LANNA, MASABLANG AND TUGA",ALL LOTS,,RR,Residential - Regular,25.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,(CONTINUATION),"CABARITAN, GOBGOB, LANNA, MASABLANG AND TUGA",ALL LOTS,,A1,Agricultural - A1,5.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,(CONTINUATION),"CABARITAN, GOBGOB, LANNA, MASABLANG AND TUGA",ALL LOTS,,A2,Agricultural - A2,2.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,OF B A L B A L A N,V  I  C  I  N  I  T  Y,ALL OTHER BARANGAYS,,RR,Residential - Regular,5.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,OF B A L B A L A N,V  I  C  I  N  I  T  Y,ALL OTHER BARANGAYS,,A1,Agricultural - A1,5.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,OF B A L B A L A N,V  I  C  I  N  I  T  Y,ALL OTHER BARANGAYS,,A2,Agricultural - A2,3.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,OF B A L B A L A N,V  I  C  I  N  I  T  Y,ALL OTHER BARANGAYS,,A4,Agricultural - A4,1.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,OF B A L B A L A N,V  I  C  I  N  I  T  Y,ALL OTHER BARANGAYS,,A5,Agricultural - A5,1.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,OF B A L B A L A N,V  I  C  I  N  I  T  Y,POBLACION,,RR,Residential - Regular,20.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,OF B A L B A L A N,V  I  C  I  N  I  T  Y,POBLACION,,A1,Agricultural - A1,5.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,OF B A L B A L A N,V  I  C  I  N  I  T  Y,POBLACION,,A2,Agricultural - A2,3.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,OF B A L B A L A N,V  I  C  I  N  I  T  Y,POBLACION,,A4,Agricultural - A4,1.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,,,OF B A L B A L A N,V  I  C  I  N  I  T  Y,POBLACION,,A5,Agricultural - A5,1.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,2ND,OF KALINGA,OF BALBALAN,ABABA-AN,ALL LOTS,,RR,Residential - Regular,35.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,2ND,OF KALINGA,OF BALBALAN,ABABA-AN,ALL LOTS,,CR,Commercial - Regular,50.0
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,2ND,OF KALINGA,OF BALBALAN,ABABA-AN,ALL LOTS,,A1,Agricultural - A1,10.5
raw,"RDO No. 11 - Tabuk City, Kalinga is composed of the following Municipaliti",,,2ND,OF KALINGA,OF BALBALAN,ABABA-AN,ALL LOTS,,A2,Agricultural - A2,8.0
