region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,ALCONES & CRISOSTOMO,"ESPINA, BUREL, ABDULRA-",INTERIOR LOTS,RR,Residential - Regular,270.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,APUPONG,BACLIG SUBD,INTERIOR,RR,Residential - Regular,60.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,APUPONG,DOLE SUBD,ZETHA SUBD,RR,Residential - Regular,80.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,APUPONG,IBAD SUBD,INTERIOR,RR,Residential - Regular,60.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,APUPONG,NATIONAL HIWAY,KORONADAL DADIANGAS,I,Industrial,7.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,APUPONG,NATIONAL HIWAY,KORONADAL DADIANGAS,A,Agricultural,7.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,APUPONG,NATIONAL HIWAY,KORONADAL DADIANGAS,RR,Residential - Regular,130.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,APUPONG,PAIDUMAMA SUBD,INTERIOR,RR,Residential - Regular,60.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,APUPONG,PBC,INTERIOR,RR,Residential - Regular,60.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,APUPONG,SITIO APUPONG,NATIONAL HIWAY,RR,Residential - Regular,90.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,APUPONG,SUGOD,ZETHA SUBD,RR,Residential - Regular,80.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,APUPONG,ZETHA SUBD,OLAFF SWIMMINGRESORT,RR,Residential - Regular,80.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,"BACLIG,PAIDUMAMA, MARTE",& STO. NINO,INTERIOR LOTS,RR,Residential - Regular,150.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BALUAN,BALUAN LIGAYA RD,FARM,A,Agricultural,5.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BALUAN,BO. SITE,NATIONAL HIWAY,RR,Residential - Regular,50.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BALUAN,BO. SITE,NATIONAL HIWAY,A,Agricultural,7.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BALUAN,NATIONAL HIWAY,BALUAN ELEM SCH,RR,Residential - Regular,50.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BALUAN,NATIONAL HIWAY,BALUAN ELEM SCH,A,Agricultural,7.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BATOMELONG,BO. SITE,INTERIOR LOTS,RR,Residential - Regular,40.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BATOMELONG,BO. SITE,INTERIOR LOTS,A5,Agricultural - A5,5.7
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BUAYAN,BO ASINAN FISHPOND,SARANGANI BAY,A,Agricultural,5.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BUAYAN,BO ASINAN PRAWN,SARANGANI BAY,A,Agricultural,90.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BUAYAN,BO ASINAN SALTBEDS,SARANGANI BAY,A,Agricultural,6.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BUAYAN,BO. SITE,INTERIOR,RR,Residential - Regular,50.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BUAYAN,BUAYAN AIRPORT,NEAR NAT'L HIWAY,RR,Residential - Regular,60.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BUAYAN,BUAYAN AIRPORT,NEAR NAT'L HIWAY,A,Agricultural,7.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BUAYAN,DPB SUBD,NATL HIWAY,RR,Residential - Regular,50.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BUAYAN,NAT'L HIWAY,AIRPORT,A,Agricultural,7.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BUAYAN,NATIONAL HIWAY,BUAYAN ELEM SCH,RR,Residential - Regular,70.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BUAYAN,SCHOOL SITE,NATL HIWAY,RR,Residential - Regular,60.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,"BUAYAN TOWNSITE, DBP SUBD",ASINAN,INTERIOR LOTS,A2,Agricultural - A2,5.5
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,"BUAYAN TOWNSITE, DBP SUBD",ASINAN,INTERIOR LOTS,A3,Agricultural - A3,7.3
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,"BUAYAN TOWNSITE, DBP SUBD",VEGA & DEMONTEVERDE SUBD.,INTERIOR LOTS,RR,Residential - Regular,135.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,"BUAYAN TOWNSITE, DBP SUBD",VEGA & DEMONTEVERDE SUBD.,ALONG NAT'L HIGHWAY,RR,Residential - Regular,165.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,SHORELINE,RR,Residential - Regular,420.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,ALL LOTS ALONG ZONE 8,RR,Residential - Regular,390.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,FRONTING TILAPIA ST.,RR,Residential - Regular,330.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,& 7 FRONTING PLAZA,RR,Residential - Regular,340.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,AND 8,RR,Residential - Regular,290.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,RAJAH MUDA,RR,Residential - Regular,525.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,TO G. MISA ST.,RR,Residential - Regular,1165.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,CASQUEJO PROPERTY,RR,Residential - Regular,735.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,& GENSANVILLE,RR,Residential - Regular,255.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,7& 8 & ALUNAN SUBD.,RR,Residential - Regular,1170.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,CABE & GONZALES SUBD.,RR,Residential - Regular,1200.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,TO MAGSAYSAY AVE.,CR,Commercial - Regular,7500.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,TO MAGSAYSAY AVE.,I,Industrial,7500.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,CHANNELIZED ROAD,CR,Commercial - Regular,7000.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,CHANNELIZED ROAD,I,Industrial,7000.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,COCA-COLA & FISH LANDING,CR,Commercial - Regular,1875.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,,COCA-COLA & FISH LANDING,I,Industrial,1875.0
raw,"RDO No. 110 - Genaral Santos City, South Cotabato is composed of the follow",,,,,,BULA,FISHERMENS VILL,COCA COLA PLANT,RR,Residential - Regular,210.0
