region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,,2ND,:  SOUTH COTABATO,BANGA,ALL OTHER LOTS,MALVAR ST,PRES.GARCIA-P.SANTOS ST.,CR,Commercial - Regular,400.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,,2ND,:  SOUTH COTABATO,BANGA,ALL OTHER LOTS,MALVAR ST,PRES.GARCIA-P.SANTOS ST.,RR,Residential - Regular,250.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,"Nov. 2, 2022",4TH,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ALL OTHER LOTS,ALONG THE ROAD,CR,Commercial - Regular,2573.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,"Nov. 2, 2022",4TH,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ALL OTHER LOTS,ALONG THE ROAD,I,Industrial,2573.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,"Nov. 2, 2022",4TH,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ALL OTHER LOTS,ALONG THE ROAD,RR,Residential - Regular,1294.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,"Nov. 2, 2022",4TH,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ALL OTHER LOTS,INTERIOR LOT,RR,Residential - Regular,996.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,,2ND,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ALL OTHER STREETS,PRES.GARCIA-P.SANTOS ST.,CR,Commercial - Regular,484.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,,2ND,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ALL OTHER STREETS,PRES.GARCIA-P.SANTOS ST.,I,Industrial,484.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,,2ND,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ALL OTHER STREETS,PRES.GARCIA-P.SANTOS ST.,RR,Residential - Regular,294.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,"Nov. 2, 2022",4TH,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ALUNAN,,RR,Residential - Regular,1632.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,,2ND,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ALUNAN,,RR,Residential - Regular,404.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,"Nov. 2, 2022",4TH,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ALUNAN ST,,RR,Residential - Regular,1379.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,,2ND,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ALUNAN ST,PRES.GARCIA-P.SANTOS ST.,RR,Residential - Regular,288.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,"Nov. 2, 2022",4TH,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ANTONIO LUNA ST.,,RR,Residential - Regular,1566.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,,2ND,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),ANTONIO LUNA ST.,,RR,Residential - Regular,305.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,"Nov. 2, 2022",4TH,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),BONIFACIO ST,,CR,Commercial - Regular,2672.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,"Nov. 2, 2022",4TH,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),BONIFACIO ST,,RR,Residential - Regular,1629.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,,2ND,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),BONIFACIO ST,PRES.GARCIA-P.SANTOS ST.,CR,Commercial - Regular,424.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,"Nov. 2, 2022",4TH,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),BONIFACIO ST.,,RR,Residential - Regular,1620.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,,2ND,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),BONIFACIO ST.,,RR,Residential - Regular,384.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,"Nov. 2, 2022",4TH,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),BURGOS ST.,QUEZON ST-NW TO NAT'L HW,CR,Commercial - Regular,2922.0
raw,"RDO No. 111 - Koronadal City, South Cotabato is composed of the following C",,"Nov. 2, 2022",4TH,:  SOUTH COTABATO,BANGA,BENITEZ (POBLACION),BURGOS ST.,QUEZON ST-NW TO NAT'L HW,RR,Residential - Regular,1590.0
