region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,,CR,Commercial - Regular,1300.0
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,,RR,Residential - Regular,700.0
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,,A1,Agricultural - A1,51.75
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,,A2,Agricultural - A2,35.0
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,,A3,Agricultural - A3,34.25
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,,A6,Agricultural - A6,69.25
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,,A11,Agricultural - A11,33.5
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,EXPORT,A14,Agricultural - A14,73.625
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,LOCAL,A14,Agricultural - A14,51.75
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,LOCAL,A16,Agricultural - A16,34.25
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,LOCAL,A19,Agricultural - A19,38.25
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,LOCAL,A26,Agricultural - A26,35.1
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,LOCAL,A35,Agricultural - A35,42.625
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,LOCAL,A43,Agricultural - A43,47.75
raw,"RDO No. 112 - Tagum City, Davao del Norte is composed of the following Prov",,"Nov. 30, 2019",4TH,DAVAO DEL NORTE,ASUNCION,BINANCIAN,ALL LOTS,LOCAL,A44,Agricultural - A44,60.875
