region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,WITHIN BRGYS ACACIA & CALLAWA,RR,Residential - Regular,350.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,WITHIN BRGYS ACACIA & CALLAWA,A1,Agricultural - A1,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,WITHIN BRGYS ACACIA & CALLAWA,A2,Agricultural - A2,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,WITHIN BRGYS ACACIA & CALLAWA,A4,Agricultural - A4,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,WITHIN BRGYS ACACIA & CALLAWA,A11,Agricultural - A11,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(LOCAL),A14,Agricultural - A14,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A14,Agricultural - A14,40.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A16,Agricultural - A16,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A19,Agricultural - A19,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A26,Agricultural - A26,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A43,Agricultural - A43,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A35,Agricultural - A35,30.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A44,Agricultural - A44,30.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A48,Agricultural - A48,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A50,Agricultural - A50,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,WITHIN BRGYS ACACIA & CALLAWA,RR,Residential - Regular,350.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,WITHIN BRGYS ACACIA & CALLAWA,A1,Agricultural - A1,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,WITHIN BRGYS ACACIA & CALLAWA,A2,Agricultural - A2,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,WITHIN BRGYS ACACIA & CALLAWA,A4,Agricultural - A4,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,WITHIN BRGYS ACACIA & CALLAWA,A11,Agricultural - A11,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(LOCAL),A14,Agricultural - A14,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A14,Agricultural - A14,40.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A16,Agricultural - A16,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A19,Agricultural - A19,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A26,Agricultural - A26,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A43,Agricultural - A43,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A35,Agricultural - A35,30.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A44,Agricultural - A44,30.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A48,Agricultural - A48,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,ACACIA & CALLAWA,ALL LOTS,(EXPORT),A50,Agricultural - A50,20.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,AGDAO RESETTMWNT AREA,,RR,Residential - Regular,630.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,AGDAO RESETTMWNT AREA,,RR,Residential - Regular,630.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,ALL OTHER LOTS,W/IN BRGY AGDAO NOT MENTIONED,CR,Commercial - Regular,3000.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,ALL OTHER LOTS,IN ABOVE CLASSIFICATION,RR,Residential - Regular,600.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,ALL OTHER LOTS,IN ABOVE CLASSIFICATION,I,Industrial,3200.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,ALL OTHER LOTS,IN ABOVE CLASSIFICATION,A1,Agricultural - A1,63.5
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,ALL OTHER LOTS,IN ABOVE CLASSIFICATION,A22,Agricultural - A22,59.5
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,ALL OTHER LOTS,IN ABOVE CLASSIFICATION,A3,Agricultural - A3,125.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,ALL OTHER LOTS,IN ABOVE CLASSIFICATION,A4,Agricultural - A4,125.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,ALL OTHER LOTS,W/IN BRGY AGDAO NOT MENTIONED,CR,Commercial - Regular,3000.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,ALL OTHER LOTS,IN ABOVE CLASSIFICATION,RR,Residential - Regular,600.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,ALL OTHER LOTS,IN ABOVE CLASSIFICATION,I,Industrial,3200.0
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,ALL OTHER LOTS,IN ABOVE CLASSIFICATION,A1,Agricultural - A1,63.5
raw,RDO No. 113A - West Davao City and RDO No. 113B (132) - East Davao City.,,,,,,AGDAO,ALL OTHER LOTS,IN ABOVE CLASSIFICATION,A22,Agricultural - A22,59.5
