region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,2002-12-28,,,AGUINALDO,ALL BARANGAYS,ALL LOTS,,RR,Residential - Regular,30.0
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,2002-12-28,,,AGUINALDO,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,20.0
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,2002-12-28,,,AGUINALDO,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,7.0
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,2002-12-28,,,AGUINALDO,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,5.0
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,2002-12-28,,,AGUINALDO,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A5,Agricultural - A5,5.0
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,2002-12-28,,,AGUINALDO,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A10,Agricultural - A10,3.0
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,2002-12-28,,,AGUINALDO,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A14,Agricultural - A14,5.0
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,2002-12-28,,,AGUINALDO,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A15,Agricultural - A15,3.0
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,2002-12-28,,,AGUINALDO,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A16,Agricultural - A16,8.0
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,2002-12-28,,,AGUINALDO,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A19,Agricultural - A19,5.0
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,2002-12-28,,,AGUINALDO,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A25,Agricultural - A25,8.0
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,2002-12-28,,,AGUINALDO,ALL BARANGAYS,ALL LOTS,INTERIOR LOTS,A48,Agricultural - A48,5.0
raw,"RDO No. 12 - Lagawe, Ifugao is composed of the following Municipalities:",,,,,AGUINALDO,AWAYAN,ALL LOTS,,RR,Residential - Regular,55.0
