region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A3,Agricultural - A3,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A4,Agricultural - A4,10.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A6,Agricultural - A6,25.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A7,Agricultural - A7,8.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A8,Agricultural - A8,8.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A15,Agricultural - A15,10.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A16,Agricultural - A16,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A17,Agricultural - A17,17.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A18,Agricultural - A18,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A19,Agricultural - A19,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A42,Agricultural - A42,25.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A47,Agricultural - A47,12.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A50,Agricultural - A50,10.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A3,Agricultural - A3,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A4,Agricultural - A4,10.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A6,Agricultural - A6,25.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A7,Agricultural - A7,8.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A8,Agricultural - A8,8.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A15,Agricultural - A15,10.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A16,Agricultural - A16,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A17,Agricultural - A17,17.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A18,Agricultural - A18,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A19,Agricultural - A19,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A42,Agricultural - A42,25.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A47,Agricultural - A47,12.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,,,A50,Agricultural - A50,10.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A1,Agricultural - A1,35.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A2,Agricultural - A2,20.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A3,Agricultural - A3,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A4,Agricultural - A4,10.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A6,Agricultural - A6,25.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A7,Agricultural - A7,8.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A8,Agricultural - A8,8.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A15,Agricultural - A15,10.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A16,Agricultural - A16,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A17,Agricultural - A17,17.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A18,Agricultural - A18,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A19,Agricultural - A19,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A42,Agricultural - A42,25.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A47,Agricultural - A47,12.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR,A50,Agricultural - A50,10.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,35.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,20.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR LOTS,A3,Agricultural - A3,15.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,10.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR LOTS,A6,Agricultural - A6,25.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR LOTS,A7,Agricultural - A7,8.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR LOTS,A8,Agricultural - A8,8.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR LOTS,A15,Agricultural - A15,10.0
raw,RDO No. 13 - Tuguegarao City is composed of the following City and Municip,,,2ND,,ABULUG,AGRICULTURAL LANDS,ALL LOTS,INTERIOR LOTS,A16,Agricultural - A16,15.0
