region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,ALL OTHER BARANGAYS,PROVINCIAL ROAD,,RR,Residential - Regular,45.0
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,ALL OTHER BARANGAYS,PROVINCIAL ROAD,INTERIOR,RR,Residential - Regular,40.0
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,POBLACION,BARROGA ST,MUNICIPAL HALL,RR,Residential - Regular,45.0
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,POBLACION,BARROGA ST,ADJ LOTS-BLK LOTS,RR,Residential - Regular,35.0
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,POBLACION,BARROGA ST,INTERIOR,RR,Residential - Regular,35.0
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,POBLACION,PANDAY ST,INTERIOR,CR,Commercial - Regular,60.0
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,POBLACION,PANDAY ST,INTERIOR,RR,Residential - Regular,35.0
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,POBLACION,PROVINCIAL ROAD,,RR,Residential - Regular,45.0
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,POBLACION,PROVINCIAL ROAD,INTERIOR,RR,Residential - Regular,40.0
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,POBLACION,QUINTERO CASTILLO ST,INTERIOR,RR,Residential - Regular,35.0
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,POBLACION,QUINTERO CASTILLO ST,INTERIOR,RR,Residential - Regular,35.0
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,POBLACION,TANGCA ST,INTERIOR,RR,Residential - Regular,35.0
raw,"RDO No. 14 - Bayombong, Nueva Vizcaya is composed of the following Municip",,,,,ALFONSO CASTANEDA,POBLACION,TANGCA ST,INTERIOR,RR,Residential - Regular,35.0
