region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 16 - Cabarroguis, Quirino is composed of the following Municipalit",,,,QUIRINO,AGLIPAY,ALICIA,,,RR,Residential - Regular,125.0
raw,"RDO No. 16 - Cabarroguis, Quirino is composed of the following Municipalit",,,,QUIRINO,AGLIPAY,ALICIA,,INTERIOR,RR,Residential - Regular,90.0
raw,"RDO No. 16 - Cabarroguis, Quirino is composed of the following Municipalit",,,,QUIRINO,AGLIPAY,ALICIA,,INTERIOR,A1,Agricultural - A1,14.0
raw,"RDO No. 16 - Cabarroguis, Quirino is composed of the following Municipalit",,,,QUIRINO,AGLIPAY,ALICIA,,INTERIOR,A2,Agricultural - A2,9.0
raw,"RDO No. 16 - Cabarroguis, Quirino is composed of the following Municipalit",,,,QUIRINO,AGLIPAY,ALICIA,,INTERIOR,A3,Agricultural - A3,5.0
raw,"RDO No. 16 - Cabarroguis, Quirino is composed of the following Municipalit",,,,QUIRINO,AGLIPAY,ALICIA,,COCO LAND,A4,Agricultural - A4,5.0
raw,"RDO No. 16 - Cabarroguis, Quirino is composed of the following Municipalit",,,,QUIRINO,AGLIPAY,ALICIA,,CITRUS LAND,A5,Agricultural - A5,6.0
raw,"RDO No. 16 - Cabarroguis, Quirino is composed of the following Municipalit",,,,QUIRINO,AGLIPAY,ALICIA,,FISHPOND,A6,Agricultural - A6,10.0
raw,"RDO No. 16 - Cabarroguis, Quirino is composed of the following Municipalit",,,,QUIRINO,AGLIPAY,ALICIA,,ORCHARD,A12,Agricultural - A12,5.0
raw,"RDO No. 16 - Cabarroguis, Quirino is composed of the following Municipalit",,,,QUIRINO,AGLIPAY,ALICIA,,BANANA LAND,A14,Agricultural - A14,6.0
raw,"RDO No. 16 - Cabarroguis, Quirino is composed of the following Municipalit",,,,QUIRINO,AGLIPAY,ALICIA,,PASTURE LAND,A15,Agricultural - A15,4.0
raw,"RDO No. 16 - Cabarroguis, Quirino is composed of the following Municipalit",,,,QUIRINO,AGLIPAY,ALICIA,,CORN LAND,A16,Agricultural - A16,12.0
