region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 17A - Tarlac City, Tarlac is composed of the following City and Mun",,,,,"ANAO, TARLAC",BAGUINDOC,ALL LOTS,LOTS IN THE BARANGAYS OF,RR,Residential - Regular,25.0
raw,"RDO No. 17A - Tarlac City, Tarlac is composed of the following City and Mun",,,,,"ANAO, TARLAC",BAGUINDOC,ALL LOTS,"BANTOG, BAGUINDOC, CASILI SUAVERDEZ AND",A50,Agricultural - A50,5.0
raw,"RDO No. 17A - Tarlac City, Tarlac is composed of the following City and Mun",,,,,"ANAO, TARLAC",BAGUINDOC,ALL LOTS,LOTS IN THE BRGYS OF BANTOG,RR,Residential - Regular,20.0
raw,"RDO No. 17A - Tarlac City, Tarlac is composed of the following City and Mun",,,,,"ANAO, TARLAC",BAGUINDOC,ALL LOTS,"BAGUINDOC, CASILI SUAVERDEZ,",A50,Agricultural - A50,3.0
raw,"RDO No. 17A - Tarlac City, Tarlac is composed of the following City and Mun",,,,,"ANAO, TARLAC",BANTOG,ALL LOTS,LOTS IN THE BARANGAYS OF,RR,Residential - Regular,25.0
raw,"RDO No. 17A - Tarlac City, Tarlac is composed of the following City and Mun",,,,,"ANAO, TARLAC",BANTOG,ALL LOTS,"BANTOG, BAGUINDOC, CASILI SUAVERDEZ AND",A50,Agricultural - A50,5.0
raw,"RDO No. 17A - Tarlac City, Tarlac is composed of the following City and Mun",,,,,"ANAO, TARLAC",BANTOG,ALL LOTS,LOTS IN THE BRGYS OF BANTOG,RR,Residential - Regular,20.0
raw,"RDO No. 17A - Tarlac City, Tarlac is composed of the following City and Mun",,,,,"ANAO, TARLAC",BANTOG,ALL LOTS,"BAGUINDOC, CASILI SUAVERDEZ,",A50,Agricultural - A50,3.0
raw,"RDO No. 17A - Tarlac City, Tarlac is composed of the following City and Mun",,,,,"ANAO, TARLAC",CAMPOS,ALL LOTS,LOTS IN THE BARANGAYS OF,RR,Residential - Regular,25.0
raw,"RDO No. 17A - Tarlac City, Tarlac is composed of the following City and Mun",,,,,"ANAO, TARLAC",CAMPOS,ALL LOTS,"BANTOG, BAGUINDOC, CASILI SUAVERDEZ AND",A50,Agricultural - A50,5.0
