region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,***ALONG NATIONAL ROAD,CR,Commercial - Regular,900.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,******,I,Industrial,1100.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,******,RR,Residential - Regular,600.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,******,A1,Agricultural - A1,90.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,******,A2,Agricultural - A2,85.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,******,A50,Agricultural - A50,80.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,******,GP,General Purpose,180.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,***ALONG PROVINCIAL ROAD,CR,Commercial - Regular,800.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,*****,I,Industrial,950.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,*****,RR,Residential - Regular,500.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,*****,A1,Agricultural - A1,80.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,*****,A2,Agricultural - A2,75.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,*****,A50,Agricultural - A50,70.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,*****,GP,General Purpose,160.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,***INTERIOR LOTS,RR,Residential - Regular,300.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,***INTERIOR LOTS,A1,Agricultural - A1,60.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,***INTERIOR LOTS,A2,Agricultural - A2,55.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,***INTERIOR LOTS,A3,Agricultural - A3,45.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,***INTERIOR LOTS,A15,Agricultural - A15,45.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,***INTERIOR LOTS,A17,Agricultural - A17,50.0
raw,"RDO No. 17B - Paniqui, Tarlac is composed of the following Municipalities:",,,3RD,: TARLAC,ANAO,ALL LOTS,ALL LOTS,***INTERIOR LOTS,A37,Agricultural - A37,45.0
