region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 18 - Olongapo City Zambales,,,,,,ASINAN,1ST STREET,l4TH ST - BRIDGE,CR,Commercial - Regular,1900.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,ASINAN,ALL OTHER STREETS,l4TH ST - BRIDGE,CR,Commercial - Regular,1900.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,ASINAN,ALL OTHER STREETS,l4TH ST - BRIDGE,RR,Residential - Regular,800.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,ASINAN,GORDON AVE,MAGSAYSAY - 14TH ST,CR,Commercial - Regular,2500.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,ASINAN,GORDON AVE,l4TH ST - BRIDGE,CR,Commercial - Regular,1500.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,ASINAN,GORDON AVE,l4TH ST - BRIDGE,RR,Residential - Regular,800.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,ASINAN,MAGSAYSAY DRIVE,l4TH ST - BRIDGE,CR,Commercial - Regular,3800.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,BALOY BEACH,,RR,Residential - Regular,650.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,BARBA LANE,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,BURGOS ST,,RR,Residential - Regular,450.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,GABAYA EXT,INTERIOR,RR,Residential - Regular,200.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,GABAYA ST,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,GERONIMO ST,INTERIOR,RR,Residential - Regular,600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,GOMEZ ST,INTERIOR,RR,Residential - Regular,400.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,JACINTO ST,INTERIOR,RR,Residential - Regular,600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,JOLO ST,INTERIOR,RR,Residential - Regular,600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,MENDOZA ST,INTERIOR,RR,Residential - Regular,600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,MONTELIBANO,INTERIOR,CR,Commercial - Regular,1000.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,MORALES ST,INTERIOR,RR,Residential - Regular,600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,NATIONAL HIGHWAY,INTERIOR,CR,Commercial - Regular,1100.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,RIZAL EXT (HULO),INTERIOR,RR,Residential - Regular,100.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,RIZAL ST,INTERIOR,RR,Residential - Regular,700.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,RIZAL ST,INTERIOR,RR,Residential - Regular,400.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,RIZAL ST EXT,INTERIOR,RR,Residential - Regular,200.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,SOLIS ST,INTERIOR,RR,Residential - Regular,200.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,BARRETTO,ZAMORA ST,INTERIOR,RR,Residential - Regular,600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST BAJAC-BAJAC,ALL OTHER STREETS,WITHIN TOWNSITE-308,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST BAJAC-BAJAC,ALL OTHER STREETS,OUTSIDE TOWNSITE - 308,RR,Residential - Regular,100.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST BAJAC-BAJAC,LITTLE BAGUIO,MAGSAYSAY RTDA-HOSPITAL,RR,Residential - Regular,100.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST BAJAC-BAJAC,RIZAL AVENUE,ULO NG APO-CLTX STA. RITA,CR,Commercial - Regular,3000.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST BAJAC-BAJAC,RIZAL AVENUE,ULO NG APO-CLTX STA. RITA,RR,Residential - Regular,1000.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST BAJAC-BAJAC,RIZAL AVENUE,ULO APO-MAGSAYSAY RTDA,CR,Commercial - Regular,2500.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST BAJAC-BAJAC,RIZAL AVENUE,ULO APO-MAGSAYSAY RTDA,RR,Residential - Regular,650.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST BAJAC-BAJAC,RIZAL AVENUE,MAGSAYSAY RTDA-HOSPITAL,CR,Commercial - Regular,2000.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST BAJAC-BAJAC,RIZAL AVENUE,MAGSAYSAY RTDA-HOSPITAL,RR,Residential - Regular,500.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST BAJAC-BAJAC,SIBUL,MAGSAYSAY RTDA-HOSPITAL,RR,Residential - Regular,100.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,AGUINALDO ST,,CR,Commercial - Regular,2000.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,ALBA ST,,RR,Residential - Regular,800.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,ALL OTHER STREETS,FENDLER ST - GORDON AVE,RR,Residential - Regular,650.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,APELADO ST,,RR,Residential - Regular,500.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,BACON ST,,RR,Residential - Regular,600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,DELA CRUZ DRIVE EXT,,RR,Residential - Regular,600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,DONOR ST,,RR,Residential - Regular,600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,FENDLER ST,BAPTIST CHRCH-EVER HOTEL,CR,Commercial - Regular,2000.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,FENDLER ST,BAPTIST CHRCH-EVER HOTEL,RR,Residential - Regular,800.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,FENDLER ST,BAPTIST CHRCH - 14TH ST,CR,Commercial - Regular,1500.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,FENDLER ST,BAPTIST CHRCH - 14TH ST,RR,Residential - Regular,600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,FONTAINE EXT,BAPTIST CHRCH - 14TH ST,RR,Residential - Regular,500.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,GALLAGHER ST,BAPTIST CHRCH - 14TH ST,RR,Residential - Regular,700.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,HANSEN ST,BAPTIST CHRCH - 14TH ST,RR,Residential - Regular,700.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,IRVING ST,BAPTIST CHRCH - 14TH ST,RR,Residential - Regular,700.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,MAGSAYSAY DRIVE,BAPTIST CHRCH - 14TH ST,CR,Commercial - Regular,3800.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,RIZAL AVENUE,ULO NG APO-CLTX STA. RITA,CR,Commercial - Regular,3000.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,RIZAL AVENUE,ULO NG APO-CLTX STA. RITA,RR,Residential - Regular,1000.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,RIZAL AVENUE,ULO APO-MAGSAYSAY RTDA,CR,Commercial - Regular,2500.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,RIZAL AVENUE,ULO APO-MAGSAYSAY RTDA,RR,Residential - Regular,650.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,RIZAL AVENUE,MAGSAYSAY RTDA-HOSPITAL,CR,Commercial - Regular,2000.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,RIZAL AVENUE,MAGSAYSAY RTDA-HOSPITAL,RR,Residential - Regular,500.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,l4TH ST,RIZAL AVE - FENDLER ST,CR,Commercial - Regular,1200.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,l4TH ST,RIZAL AVE - FENDLER ST,RR,Residential - Regular,600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,l4TH ST,FENDLER ST - GORDON AVE,CR,Commercial - Regular,1000.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,EAST TAPINAC,l4TH ST,FENDLER ST - GORDON AVE,RR,Residential - Regular,600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,ALL OTHER STREETS,,RR,Residential - Regular,150.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,BLOCK 1 - 5,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,BLOCK 13 - 20,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,BLOCK 21 - 26,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,BLOCK 27,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,BLOCK 27 EXT,,RR,Residential - Regular,75.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,BLOCK 5 - 12,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,DE GUZMAN,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,KAUFFMAN ST,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,LONGROAD,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,MERCURIO,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,NEPTUNE ST,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,OTERO AVENUE EXT,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,SANDERS EXT,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,SANDERS ST,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,GORDON HEIGHTS,WATERDAM ROAD,,RR,Residential - Regular,250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,KALAKLAN,ALL OTHER STREETS,,CR,Commercial - Regular,1250.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,KALAKLAN,ALL OTHER STREETS,,RR,Residential - Regular,200.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,KALAKLAN,HALFMOON BEACH,,RR,Residential - Regular,1200.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,KALAKLAN,MAIN ST,,RR,Residential - Regular,1000.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,KALAKLAN,NATIONAL ROAD,,CR,Commercial - Regular,1600.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,KALAKLAN,NATIONAL ROAD,,CR,Commercial - Regular,1200.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,KALAKLAN,VIRGINIA ST,,RR,Residential - Regular,900.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,ALL OTHER STREETS,UPPER,A,Agricultural,100.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,BAYABAS ST,,RR,Residential - Regular,100.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,CALIMBAS ST,,RR,Residential - Regular,200.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,CALIMBAS ST,UPPER,RR,Residential - Regular,100.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,DE ARO ST,LOWER,RR,Residential - Regular,200.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,DE ARO ST,UPPER,RR,Residential - Regular,150.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,GRACE PAULINE ST,UPPER,RR,Residential - Regular,200.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,LABRADOR ST,LOWER,RR,Residential - Regular,150.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,LABRADOR ST,UPPER,RR,Residential - Regular,130.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,LEYVA ST,UPPER,RR,Residential - Regular,200.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,LEYVA ST,UPPER,RR,Residential - Regular,150.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,MERCURIO ST,UPPER,RR,Residential - Regular,150.0
raw,RDO No. 18 - Olongapo City Zambales,,,,,,MABAYUAN,MERCURIO ST,UPPER,RR,Residential - Regular,100.0
