region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 20 - Balanga City, Bataan is composed of the following City and Mu",,,,,ABUCAY,4-GABON,BULIRAN ST,NAT'L RD-END OF POBLACION,RR,Residential - Regular,200.0
raw,"RDO NO. 20 - Balanga City, Bataan is composed of the following City and Mu",,,,,ABUCAY,4-GABON,BULIRAN ST,NAT'L RD-END OF POBLACION,CR,Commercial - Regular,325.0
raw,"RDO NO. 20 - Balanga City, Bataan is composed of the following City and Mu",,,,,ABUCAY,4-GABON,DELFIN ST,NAT'L RD-END OF POBLACION,RR,Residential - Regular,200.0
raw,"RDO NO. 20 - Balanga City, Bataan is composed of the following City and Mu",,,,,ABUCAY,4-GABON,DELFIN ST,NAT'L RD-END OF POBLACION,CR,Commercial - Regular,325.0
raw,"RDO NO. 20 - Balanga City, Bataan is composed of the following City and Mu",,,,,ABUCAY,4-GABON,DU ST,GABON ST-DELFIN ST,RR,Residential - Regular,200.0
raw,"RDO NO. 20 - Balanga City, Bataan is composed of the following City and Mu",,,,,ABUCAY,4-GABON,DU ST,GABON ST-DELFIN ST,CR,Commercial - Regular,325.0
raw,"RDO NO. 20 - Balanga City, Bataan is composed of the following City and Mu",,,,,ABUCAY,4-GABON,DU ST,GABON ST-DELFIN ST,A1,Agricultural - A1,1550.0
raw,"RDO NO. 20 - Balanga City, Bataan is composed of the following City and Mu",,,,,ABUCAY,5-LAON,ALL OTHER STREETS,LAON BRIDGE-LAON ST,CR,Commercial - Regular,275.0
raw,"RDO NO. 20 - Balanga City, Bataan is composed of the following City and Mu",,,,,ABUCAY,5-LAON,ALL OTHER STREETS,LAON BRIDGE-LAON ST,A1,Agricultural - A1,20.0
raw,"RDO NO. 20 - Balanga City, Bataan is composed of the following City and Mu",,,,,ABUCAY,5-LAON,ALL OTHER STREETS,LAON BRIDGE-LAON ST,A2,Agricultural - A2,15.0
raw,"RDO NO. 20 - Balanga City, Bataan is composed of the following City and Mu",,,,,ABUCAY,5-LAON,KABYAWAN,LAON BRIDGE-LAON ST,RR,Residential - Regular,220.0
