region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AGAPITO DEL ROSARIO,ALL OTHER STREET,BURGOS-A. DEL ROSARIO ST.,RR,Residential - Regular,1000.0
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AGAPITO DEL ROSARIO,ALL OTHER STREET,BURGOS-A. DEL ROSARIO ST.,I,Industrial,500.0
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AGAPITO DEL ROSARIO,BURGOS STREET,HENSON ST.-RIZAL ST.,CR,Commercial - Regular,7500.0
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AGAPITO DEL ROSARIO,C. DAYRIT  SUBDIVISION,HENSON ST.-RIZAL ST.,RR,Residential - Regular,1500.0
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AGAPITO DEL ROSARIO,DEL ROSARIO ST,HENSON ST.-RIZAL ST.,RR,Residential - Regular,1500.0
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AGAPITO DEL ROSARIO,HENSON STREET,BURGOS-A.DEL ROSARIO ST.,CR,Commercial - Regular,10000.0
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AGAPITO DEL ROSARIO,HENSON STREET,CROSSING,CR,Commercial - Regular,7000.0
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AGAPITO DEL ROSARIO,HENSON STREET,SAN FRANCISCO STREET TO M.R.R.,CR,Commercial - Regular,7000.0
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AGAPITO DEL ROSARIO,HENSON STREET,A. DEL ROSARIO ST. - SAN,CR,Commercial - Regular,7000.0
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AGAPITO DEL ROSARIO,JESUS STREET,HENSON ST.-RIZAL ST.,CR,Commercial - Regular,12000.0
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AGAPITO DEL ROSARIO,RIZAL STREET,BURGOS-A. DEL ROSARIO ST.,CR,Commercial - Regular,10000.0
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AGAPITO DEL ROSARIO,VALDEZ STREET,A. DEL ROSARIO ST. - SAN,CR,Commercial - Regular,5000.0
raw,RDO No. 21A - North Pampanga and RDO No. 21B - South Pampanga,,,,,,AMSIC,ALL LOTS,,CR,Commercial - Regular,3000.0
