region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,7,ALONG THE BEACH,A50,Agricultural - A50,13.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG BARANGAY ROAD,RR,Residential - Regular,1500.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG BARANGAY ROAD,CR,Commercial - Regular,4000.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,RR,Residential - Regular,3500.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,CR,Commercial - Regular,7000.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,I,Industrial,4200.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A1,Agricultural - A1,59.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A2,Agricultural - A2,43.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A4,Agricultural - A4,37.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A5,Agricultural - A5,37.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A6,Agricultural - A6,49.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A7,Agricultural - A7,15.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A8,Agricultural - A8,27.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A10,Agricultural - A10,20.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A12,Agricultural - A12,28.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A14,Agricultural - A14,35.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A15,Agricultural - A15,23.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A19,Agricultural - A19,37.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A20,Agricultural - A20,37.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A21,Agricultural - A21,37.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A22,Agricultural - A22,37.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A23,Agricultural - A23,37.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A27,Agricultural - A27,31.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A28,Agricultural - A28,31.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A30,Agricultural - A30,31.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A40,Agricultural - A40,7000.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A41,Agricultural - A41,15.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,ALONG THE BEACH,A48,Agricultural - A48,37.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,1400.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,CR,Commercial - Regular,3000.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,I,Industrial,2250.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,55.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,35.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,32.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A5,Agricultural - A5,31.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A6,Agricultural - A6,39.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A7,Agricultural - A7,13.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A8,Agricultural - A8,25.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A10,Agricultural - A10,17.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A12,Agricultural - A12,22.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A14,Agricultural - A14,31.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A15,Agricultural - A15,19.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A19,Agricultural - A19,31.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A20,Agricultural - A20,31.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A21,Agricultural - A21,31.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A22,Agricultural - A22,31.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A23,Agricultural - A23,31.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A27,Agricultural - A27,25.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A28,Agricultural - A28,25.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A30,Agricultural - A30,25.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A41,Agricultural - A41,13.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A48,Agricultural - A48,31.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ALL LOTS,INTERIOR LOTS,A50,Agricultural - A50,11.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ANGARA ST. (NAT'L. RD.),BITONG EXT - MABINI ST.,RR,Residential - Regular,2300.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ANGARA ST. (NAT'L. RD.),BITONG EXT - MABINI ST.,CR,Commercial - Regular,5200.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ANGARA ST. (NAT'L. RD.),SAN LUIS EXT. - PUDOK BRIDGE,RR,Residential - Regular,2000.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ANGARA ST. (NAT'L. RD.),SAN LUIS EXT. - PUDOK BRIDGE,CR,Commercial - Regular,4600.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ANGARA ST. (NAT'L. RD.),PUDOK BRIDGE - AGUANG BRIDGE,RR,Residential - Regular,1600.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,ANGARA ST. (NAT'L. RD.),PUDOK BRIDGE - AGUANG BRIDGE,CR,Commercial - Regular,4600.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,MIJARES SUBDIVISION,WITHIN THE SUBDIVISION,RR,Residential - Regular,2000.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,BUHANGIN,MIJARES SUBDIVISION,WITHIN THE SUBDIVISION,CR,Commercial - Regular,4600.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,CALABUANAN,ALL LOTS,ALONG NATIONAL/PROVINCIAL ROAD,RR,Residential - Regular,1900.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,CALABUANAN,ALL LOTS,ALONG NATIONAL/PROVINCIAL ROAD,CR,Commercial - Regular,4600.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,CALABUANAN,ALL LOTS,ALONG BARANGAY ROAD,RR,Residential - Regular,1700.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,CALABUANAN,ALL LOTS,ALONG BARANGAY ROAD,CR,Commercial - Regular,4000.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,CALABUANAN,ALL LOTS,ALONG BARANGAY ROAD,I,Industrial,1800.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,CALABUANAN,ALL LOTS,ALONG BARANGAY ROAD,A1,Agricultural - A1,59.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,CALABUANAN,ALL LOTS,ALONG BARANGAY ROAD,A2,Agricultural - A2,43.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,CALABUANAN,ALL LOTS,ALONG BARANGAY ROAD,A4,Agricultural - A4,37.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,CALABUANAN,ALL LOTS,ALONG BARANGAY ROAD,A5,Agricultural - A5,37.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,CALABUANAN,ALL LOTS,ALONG BARANGAY ROAD,A6,Agricultural - A6,49.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,CALABUANAN,ALL LOTS,ALONG BARANGAY ROAD,A7,Agricultural - A7,15.0
Zonal Values - Revenue Region 4 - San Fernando_ Pampanga,"RDO No. 22 - Baler, Aurora is composed of the following Municipalities:",,11/25/2023,3RD,: AURORA,BALER,CALABUANAN,ALL LOTS,ALONG BARANGAY ROAD,A8,Agricultural - A8,27.0
