region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 23A - North Nueva Ecija and RDO No. 23B - South Nueva Ecija.,,,3RD,:  NUEVA ECIJA,ALIAGA,BIBICLAT,PROVINCIAL ROAD,ALONG PROVINCIAL ROAD,CR,Commercial - Regular,1275.0
raw,RDO No. 23A - North Nueva Ecija and RDO No. 23B - South Nueva Ecija.,,,3RD,:  NUEVA ECIJA,ALIAGA,BIBICLAT,PROVINCIAL ROAD,ALONG PROVINCIAL ROAD,I,Industrial,1190.0
raw,RDO No. 23A - North Nueva Ecija and RDO No. 23B - South Nueva Ecija.,,,3RD,:  NUEVA ECIJA,ALIAGA,BIBICLAT,PROVINCIAL ROAD,ALONG PROVINCIAL ROAD,RR,Residential - Regular,980.0
raw,RDO No. 23A - North Nueva Ecija and RDO No. 23B - South Nueva Ecija.,,,3RD,:  NUEVA ECIJA,ALIAGA,BUCOT,PROVINCIAL ROAD,ALONG PROVINCIAL ROAD,CR,Commercial - Regular,1275.0
raw,RDO No. 23A - North Nueva Ecija and RDO No. 23B - South Nueva Ecija.,,,3RD,:  NUEVA ECIJA,ALIAGA,BUCOT,PROVINCIAL ROAD,ALONG PROVINCIAL ROAD,I,Industrial,1190.0
raw,RDO No. 23A - North Nueva Ecija and RDO No. 23B - South Nueva Ecija.,,,3RD,:  NUEVA ECIJA,ALIAGA,BUCOT,PROVINCIAL ROAD,ALONG PROVINCIAL ROAD,RR,Residential - Regular,980.0
raw,RDO No. 23A - North Nueva Ecija and RDO No. 23B - South Nueva Ecija.,,,3RD,:  NUEVA ECIJA,ALIAGA,MACABUCOD,PROVINCIAL ROAD,ALONG PROVINCIAL ROAD,CR,Commercial - Regular,1275.0
raw,RDO No. 23A - North Nueva Ecija and RDO No. 23B - South Nueva Ecija.,,,3RD,:  NUEVA ECIJA,ALIAGA,MACABUCOD,PROVINCIAL ROAD,ALONG PROVINCIAL ROAD,I,Industrial,1190.0
raw,RDO No. 23A - North Nueva Ecija and RDO No. 23B - South Nueva Ecija.,,,3RD,:  NUEVA ECIJA,ALIAGA,MACABUCOD,PROVINCIAL ROAD,ALONG PROVINCIAL ROAD,RR,Residential - Regular,980.0
raw,RDO No. 23A - North Nueva Ecija and RDO No. 23B - South Nueva Ecija.,,,3RD,:  NUEVA ECIJA,ALIAGA,POBLACION,CORPUZ ST,CREEK,CR,Commercial - Regular,4675.0
