region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 24 - Valenzuela City is composed of the following Barangays:,,,,,,ARKONG BATO,A. CRUZ SUBD,,RR,Residential - Regular,450.0
raw,RDO No. 24 - Valenzuela City is composed of the following Barangays:,,,5TH,,,ARKONG BATO,A. FELICIANO ST.,MH DELPILAR ST TO END,RR,Residential - Regular,4700.0
raw,RDO No. 24 - Valenzuela City is composed of the following Barangays:,,,5TH,,,ARKONG BATO,A. FELICIANO ST.,MH DELPILAR ST TO END,CR,Commercial - Regular,8500.0
raw,RDO No. 24 - Valenzuela City is composed of the following Barangays:,,,5TH,,,ARKONG BATO,A. FELICIANO ST.,MH DELPILAR ST TO END,I,Industrial,8100.0
raw,RDO No. 24 - Valenzuela City is composed of the following Barangays:,,,5TH,,,ARKONG BATO,A. URRUTIA ST.,MH DEL PILAR ST TO END,RR,Residential - Regular,4700.0
raw,RDO No. 24 - Valenzuela City is composed of the following Barangays:,,,5TH,,,ARKONG BATO,A. URRUTIA ST.,MH DEL PILAR ST TO END,CR,Commercial - Regular,8500.0
raw,RDO No. 24 - Valenzuela City is composed of the following Barangays:,,,5TH,,,ARKONG BATO,A. URRUTIA ST.,MH DEL PILAR ST TO END,I,Industrial,8100.0
raw,RDO No. 24 - Valenzuela City is composed of the following Barangays:,,,,,,ARKONG BATO,ALL OTHER STREETS,,RR,Residential - Regular,450.0
raw,RDO No. 24 - Valenzuela City is composed of the following Barangays:,,,,,,ARKONG BATO,ALL OTHER STREETS,,CR,Commercial - Regular,600.0
raw,RDO No. 24 - Valenzuela City is composed of the following Barangays:,,,,,,ARKONG BATO,ALL OTHER STREETS,,GP,General Purpose,150.0
raw,RDO No. 24 - Valenzuela City is composed of the following Barangays:,,,,,,ARKONG BATO,ARKONG BATO RD,,RR,Residential - Regular,500.0
raw,RDO No. 24 - Valenzuela City is composed of the following Barangays:,,,,,,ARKONG BATO,ARKONG BATO RD,,CR,Commercial - Regular,600.0
