region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,ALL OTHER STREETS,GOV PASCUAL - LIGAYA,RR,Residential - Regular,1600.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,ALL OTHER STREETS,GOV PASCUAL - LIGAYA,CR,Commercial - Regular,2100.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,BASILIO,MH DEL PILAR - SISA,RR,Residential - Regular,1700.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,BASILIO,MH DEL PILAR - SISA,CR,Commercial - Regular,2200.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,BASILIO ST,MH DEL PILAR - SISA,RR,Residential - Regular,750.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,CAPT TIAGO,ISAGANI - SISA,RR,Residential - Regular,1600.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,CAPT TIAGO,ISAGANI - SISA,CR,Commercial - Regular,2100.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,CAPT TIAGO ST,ISAGANI - SISA ST,RR,Residential - Regular,680.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,CONSUELO,END VIA MA CLARA - END,RR,Residential - Regular,1600.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,CONSUELO,END VIA MA CLARA - END,CR,Commercial - Regular,2100.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,CONSUELO ST,END VIA M CLARA - END,RR,Residential - Regular,680.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,ELIAS,BASILIO - ISAGANI,RR,Residential - Regular,1600.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,ELIAS,BASILIO - ISAGANI,CR,Commercial - Regular,2100.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,ELIAS ST,BASILIO - ISAGANI ST,RR,Residential - Regular,680.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,FLERIDA,BASILIO-CAPT TIAGO,RR,Residential - Regular,1600.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,FLERIDA,BASILIO-CAPT TIAGO,CR,Commercial - Regular,2100.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,FLERIDA ST,BASILIO-CAPT TIAGO,RR,Residential - Regular,680.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,GOV PASCUAL (BALAGTAS),MH DEL PILAR - RR,RR,Residential - Regular,4000.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,GOV PASCUAL (BALAGTAS),MH DEL PILAR - RR,CR,Commercial - Regular,4500.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,GV PASCUAL (BALAGTAS),MH DEL PILAR - RR,RR,Residential - Regular,1300.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,IBARRA,PASCUAL - TIAGO MKT,RR,Residential - Regular,1700.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,IBARRA,PASCUAL - TIAGO MKT,CR,Commercial - Regular,2200.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,IBARRA ST,PASCUAL - TIAGO MKT,RR,Residential - Regular,750.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,ISAGANI,BASILIO - BO BDRY,RR,Residential - Regular,1600.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,ISAGANI,BASILIO - BO BDRY,CR,Commercial - Regular,2100.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,ISAGANI ST,BASILIO - BO BDRY,RR,Residential - Regular,680.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,LIGAYA,MA CLARA - SISA,RR,Residential - Regular,1600.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,LIGAYA,MA CLARA - SISA,CR,Commercial - Regular,2100.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,LIGAYA ST,MA CLARA - SISA ST,RR,Residential - Regular,680.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,LIWAYWAY,MA CLARA - SISA,RR,Residential - Regular,1600.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,LIWAYWAY,MA CLARA - SISA,CR,Commercial - Regular,2100.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,LIWAYWAY ST,MA CLARA - SISA ST,RR,Residential - Regular,680.0
raw,RDO No. 26 - Malabon/Navotas,,,,,,ACACIA,M H DEL PILAR,GOV PASCUAL - AVE - BDRY,RR,Residential - Regular,3000.0
