region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 27 - Caloocan City,,,,,,(ALL STREETS),ALL OTHER STREETS,,CR,Commercial - Regular,4000.0
raw,RDO No. 27 - Caloocan City,,,,,,(ALL STREETS),ALL OTHER STREETS,,RR,Residential - Regular,2820.0
raw,RDO No. 27 - Caloocan City,,,,,,(ALL STREETS),FAREWAY LANE SUBD.,,RR,Residential - Regular,4000.0
raw,RDO No. 27 - Caloocan City,,,,,,(ALL STREETS),TEOFILO SAMSON AVE.,,CR,Commercial - Regular,4500.0
raw,RDO No. 27 - Caloocan City,,,,,,(ALL STREETS),TEOFILO SAMSON AVE.,,RR,Residential - Regular,3500.0
raw,RDO No. 27 - Caloocan City,,,,,,(SM HOMES),BENABER TOWNHOMES,MALIGAYA PARKMALIGAYA PARK,RR,Residential - Regular,4000.0
raw,RDO No. 27 - Caloocan City,,,,,,(SM HOMES),BORLAND SUBD,MALIGAYA PARKMALIGAYA PARK,RR,Residential - Regular,2450.0
raw,RDO No. 27 - Caloocan City,,,,,,(SM HOMES),CAMARIN 2,SAMPAGUITA ST,RR,Residential - Regular,3500.0
raw,RDO No. 27 - Caloocan City,,,,,,(SM HOMES),CAMARIN 2,SAMPAGUITA ST,CR,Commercial - Regular,4000.0
raw,RDO No. 27 - Caloocan City,,,,,,(SM HOMES),CAMARIN 2,OTHER STREETS,RR,Residential - Regular,2500.0
raw,RDO No. 27 - Caloocan City,,,,,,(SM HOMES),CAMARIN ROAD,FR INTERSECTION OF SUSANO RD.,CR,Commercial - Regular,9300.0
raw,RDO No. 27 - Caloocan City,,,,,,(SM HOMES),CAMARIN ROAD,& ZABARTE RD TO ALMAR SUBD,RR,Residential - Regular,5500.0
raw,RDO No. 27 - Caloocan City,,,,,,(SM HOMES),CAMARIN ROAD,ALMAR SUBD TO DEL REY/,CR,Commercial - Regular,5000.0
