region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,(APD NO. 8,SAN JOSE,SAN JOSE,RR,Residential - Regular,4500.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,(APD NO. 8,SAN JOSE,SAN JOSE,CR,Commercial - Regular,7500.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,(APD NO. 8,SAN JOSE,SAN JOSE,RR,Residential - Regular,4500.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,(APD NO. 8,SAN JOSE,SAN JOSE,CR,Commercial - Regular,7500.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),ALL OTHER SUBD/STREETS,TANDANG SORA,RR,Residential - Regular,3250.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),ALL OTHER SUBD/STREETS,TANDANG SORA,CR,Commercial - Regular,5000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),ALL OTHER SUBD/STREETS,TANDANG SORA,GP,General Purpose,600.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),ALL OTHER SUBD/STREETS,TANDANG SORA,RR,Residential - Regular,3250.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),ALL OTHER SUBD/STREETS,TANDANG SORA,CR,Commercial - Regular,5000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),ALL OTHER SUBD/STREETS,TANDANG SORA,GP,General Purpose,600.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),CONDOMINIUM,TANDANG SORA,RC,Residential - Condominium,25000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),CONDOMINIUM,TANDANG SORA,CC,Commercial - Condominium,30000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),CONDOMINIUM,TANDANG SORA,RC,Residential - Condominium,25000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),CONDOMINIUM,TANDANG SORA,CC,Commercial - Condominium,30000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),EJAP TOWNHOMES,TANDANG SORA,RC,Residential - Condominium,13000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),EJAP TOWNHOMES,TANDANG SORA,RC,Residential - Condominium,13000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),ST JUDE LUXURY HOMES,TANDANG SORA,RC,Residential - Condominium,13000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),ST JUDE LUXURY HOMES,TANDANG SORA,RC,Residential - Condominium,13000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),TANDANG SORA TOWNHOMES,TANDANG SORA,RC,Residential - Condominium,13000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),TANDANG SORA TOWNHOMES,TANDANG SORA,RC,Residential - Condominium,13000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),TOWNHOUSE   (CCT),TANDANG SORA,RC,Residential - Condominium,20000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,3RD,,,(APD NO.65),TOWNHOUSE   (CCT),TANDANG SORA,RC,Residential - Condominium,20000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,RR,Residential - Regular,1700.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,RR,Residential - Regular,1100.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,RR,Residential - Regular,1700.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,RR,Residential - Regular,1100.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,ANTIQUE,BAGO BANTAY,RR,Residential - Regular,2300.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,ANTIQUE,BAGO BANTAY,RR,Residential - Regular,1500.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,ANTIQUE,BAGO BANTAY,RR,Residential - Regular,2300.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,ANTIQUE,BAGO BANTAY,RR,Residential - Regular,1500.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,BALAYAN,BAGO BANTAY,RR,Residential - Regular,1700.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,BALAYAN,BAGO BANTAY,RR,Residential - Regular,1100.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,BALAYAN,BAGO BANTAY,RR,Residential - Regular,1700.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,BALAYAN,BAGO BANTAY,RR,Residential - Regular,1100.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,BUKIDNON,BAGO BANTAY,RR,Residential - Regular,1700.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,BUKIDNON,BAGO BANTAY,RR,Residential - Regular,1100.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,BUKIDNON,BAGO BANTAY,RR,Residential - Regular,1700.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,BUKIDNON,BAGO BANTAY,RR,Residential - Regular,1100.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,CAMARINES,BAGO BANTAY,RR,Residential - Regular,1700.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,CAMARINES,BAGO BANTAY,RR,Residential - Regular,1100.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,CAMARINES,BAGO BANTAY,RR,Residential - Regular,1700.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,CAMARINES,BAGO BANTAY,RR,Residential - Regular,1100.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,CONDOMINIUM,BAGO BANTAY,RC,Residential - Condominium,15000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,CONDOMINIUM,BAGO BANTAY,CC,Commercial - Condominium,18000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,CONDOMINIUM,BAGO BANTAY,RC,Residential - Condominium,10000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,CONDOMINIUM,BAGO BANTAY,CC,Commercial - Condominium,12000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,CONDOMINIUM,BAGO BANTAY,RC,Residential - Condominium,15000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,CONDOMINIUM,BAGO BANTAY,CC,Commercial - Condominium,18000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,CONDOMINIUM,BAGO BANTAY,RC,Residential - Condominium,10000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,CONDOMINIUM,BAGO BANTAY,CC,Commercial - Condominium,12000.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,COTABATO,BAGO BANTAY,RR,Residential - Regular,1700.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,COTABATO,BAGO BANTAY,RR,Residential - Regular,1100.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,COTABATO,BAGO BANTAY,RR,Residential - Regular,1700.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,1ST,,,ALICIA,COTABATO,BAGO BANTAY,RR,Residential - Regular,1100.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,,,,ALICIA,COTABATO ST,,RR,Residential - Regular,600.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,,,,ALICIA,COTABATO ST,,RR,Residential - Regular,600.0
raw,"RDO NO. 28 - Novaliches, Quezon City is composed of the following Barangay",,,2ND,,,ALICIA,DAVAO,BAGO BANTAY,RR,Residential - Regular,1700.0
