region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 29 - Tondo-San Nicolas is composed of the following Barangays:,,,,,,B P W  WAREHOUSE,ALL OTHER STREETS,PACHECO-CHESA,CR,Commercial - Regular,13125.0
raw,RDO No. 29 - Tondo-San Nicolas is composed of the following Barangays:,,,,,,B P W  WAREHOUSE,ALL OTHER STREETS,PACHECO-CHESA,RR,Residential - Regular,3934.0
raw,RDO No. 29 - Tondo-San Nicolas is composed of the following Barangays:,,,,,,B P W  WAREHOUSE,CHESA ST.,LAUREL-QUEZON,RR,Residential - Regular,4536.0
raw,RDO No. 29 - Tondo-San Nicolas is composed of the following Barangays:,,,,,,B P W  WAREHOUSE,CORAL ST.,LAUREL-QUEZON,RR,Residential - Regular,4536.0
raw,RDO No. 29 - Tondo-San Nicolas is composed of the following Barangays:,,,,,,B P W  WAREHOUSE,LAUREL ST.,PACHECO-CHESA,RR,Residential - Regular,4536.0
raw,RDO No. 29 - Tondo-San Nicolas is composed of the following Barangays:,,,,,,B P W  WAREHOUSE,MAGSAYSAY ST.,PACHECO-CHESA,RR,Residential - Regular,4536.0
raw,RDO No. 29 - Tondo-San Nicolas is composed of the following Barangays:,,,,,,B P W  WAREHOUSE,PACHECO ST.,LAUREL-QUEZON,RR,Residential - Regular,4536.0
raw,RDO No. 29 - Tondo-San Nicolas is composed of the following Barangays:,,,,,,B P W  WAREHOUSE,PERLA,LAUREL-QUEZON,RR,Residential - Regular,4536.0
raw,RDO No. 29 - Tondo-San Nicolas is composed of the following Barangays:,,,,,,B P W  WAREHOUSE,QUEZON ST.,PACHECO-CHESA,RR,Residential - Regular,4536.0
raw,RDO No. 29 - Tondo-San Nicolas is composed of the following Barangays:,,,,,,CONDOMINIUMS AND TOWNHOUSES,14-UNIT TOWNHOUSE,"CALLE SANDE, TONDO",RC,Residential - Condominium,18000.0
