region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,A C S,ALL OTHER STREETS,ZAMORA ZANDUETA,RR,Residential - Regular,850.0
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,A C S,ALL OTHER STREETS,ZAMORA ZANDUETA,CR,Commercial - Regular,955.0
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,A C S,GALVES ST,ZAMORA ZANDUETA,RR,Residential - Regular,850.0
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,A C S,GALVES ST,ZAMORA ZANDUETA,GP,General Purpose,271.0
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,ABUT,ALL LOTS,NAMTUTAN BDY-JUAN,RR,Residential - Regular,100.0
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,ABUT,ALL LOTS,NAMTUTAN BDY-JUAN,A1,Agricultural - A1,39.0
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,ABUT,ALL LOTS,NAMTUTAN BDY-JUAN,A2,Agricultural - A2,11.0
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,ABUT,ALL LOTS,NAMTUTAN BDY-JUAN,A3,Agricultural - A3,11.0
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,ABUT,ALL LOTS,NAMTUTAN BDY-JUAN,A5,Agricultural - A5,26.05
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,ABUT,ALL LOTS,BRGY BATO-BDRY SEC 1,RR,Residential - Regular,100.0
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,ABUT,ALL LOTS,BRGY BATO-BDRY SEC 1,A1,Agricultural - A1,39.0
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,ABUT,ALL LOTS,BRGY BATO-BDRY SEC 1,A2,Agricultural - A2,11.0
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,ABUT,ALL LOTS,BRGY BATO-BDRY SEC 1,A3,Agricultural - A3,8.5
raw,"RDO No. 3 - San Fernando City, La Union is composed of the following City",,,,,,ABUT,ALL LOTS,BRGY BATO-BDRY SEC 1,A5,Agricultural - A5,3.55
