region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,(FORMERLY RDO NO. 23 - BINONDO- STA CRUZ),A & T  BUILDING,ESCOLTA,RC,Residential - Condominium,18750.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,(FORMERLY RDO NO. 23 - BINONDO- STA CRUZ),ALONSO MANSION,ALONZO,RC,Residential - Condominium,12500.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,(FORMERLY RDO NO. 23 - BINONDO- STA CRUZ),BELTON REALTY CORP,REINA REGENTE,RC,Residential - Condominium,15650.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,(FORMERLY RDO NO. 23 - BINONDO- STA CRUZ),BENAVIDEZ GARDEN,BENAVIDES,RC,Residential - Condominium,12500.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,(FORMERLY RDO NO. 23 - BINONDO- STA CRUZ),CONDOMINIUMS AND TOWNHOUSES,BULACAN-A BLVD,EFFECTIVITYDATE,EFFECTIVITYDATE,34157.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,ALL OTHER STREETS,T MAPUA-RIZAL AVE,CR,Commercial - Regular,6000.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,ALL OTHER STREETS,T MAPUA-RIZAL AVE,RR,Residential - Regular,3500.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,ANACLETO,L DE VEGA-MAYHALIGUE,CR,Commercial - Regular,6000.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,ANACLETO,L DE VEGA-MAYHALIGUE,RR,Residential - Regular,3500.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,LOPE DE VEGA,RIZAL AVE-T MAPUA,CR,Commercial - Regular,7000.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,LOPE DE VEGA,RIZAL AVE-T MAPUA,RR,Residential - Regular,5000.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,MAYHALIGUE,T MAPUA-RIZAL AVE,CR,Commercial - Regular,10000.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,MAYHALIGUE,T MAPUA-RIZAL AVE,RR,Residential - Regular,7000.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,RIZAL AVE,MAYHALIGUE-L DE VEGA,CR,Commercial - Regular,14000.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,T MAPUA,L DE VEGA-MAYHALIGUE,CR,Commercial - Regular,8250.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,T MAPUA,L DE VEGA-MAYHALIGUE,RR,Residential - Regular,5000.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,V FUGOSO (ZURBARAN),T MAPUA-RIZAL AVE,CR,Commercial - Regular,8500.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,335,V FUGOSO (ZURBARAN),T MAPUA-RIZAL AVE,RR,Residential - Regular,5500.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,A & T  BUILDING,ESCOLTA MANILA,RC,Residential - Condominium,15000.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,ALONSO MANSION,ALONZO STREET,RC,Residential - Condominium,10000.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,BELTON REALTY CORP,REINA REGENTE,RC,Residential - Condominium,12500.0
raw,"RDO No. 30 - Binondo, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,BENAVIDEZ GARDEN,BENAVIDEZ STREET,RC,Residential - Condominium,10000.0
