region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,"March 1, 2004",,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,C PALANCA-PL MIRANDA,CR,Commercial - Regular,26250.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,"March 1, 2004",,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,G PUYAT-TRINIDAD,CR,Commercial - Regular,26250.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,"March 1, 2004",,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,QUEZON BLVD-EVANGELISTA,CR,Commercial - Regular,26250.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,"March 1, 2004",,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,QUEZON BLVD-EVANGELISTA,RR,Residential - Regular,19500.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,"March 1, 2004",,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,RIZAL AVE-SALES,CR,Commercial - Regular,35000.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,"March 1, 2004",,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,RIZAL AVE-SALES,RR,Residential - Regular,19980.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,,,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,C PALANCA-PL MIRANDA,CR,Commercial - Regular,21000.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,,,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,G PUYAT-TRINIDAD,CR,Commercial - Regular,21000.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,,,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,QUEZON BLVD-EVANGELISTA,CR,Commercial - Regular,21000.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,,,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,QUEZON BLVD-EVANGELISTA,RR,Residential - Regular,16250.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,,,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,RIZAL AVE-SALES,CR,Commercial - Regular,28000.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,,,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,RIZAL AVE-SALES,RR,Residential - Regular,16650.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,,,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,C PALANCA-PL MIRANDA,CR,Commercial - Regular,15000.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,,,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,G PUYAT-TRINIDAD,CR,Commercial - Regular,15000.0
raw,RDO No. 32 - Quiapo-Sampaloc-San Miguel-Sta. Mesa is composed of the follo,,,,,MANILA/METRO MANILA,ZONE:  30,ALL OTHER STREETS,QUEZON BLVD-EVANGELISTA,CR,Commercial - Regular,15000.0
