region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 33 - Intramuros-Ermita-Malate-Port Area, Manila is composed of the",,,,,MANILA/METRO MANILA,ALL OTHER STREETS,AGNO,ESTRELLA,RR,Residential - Regular,5090.0
raw,"RDO NO. 33 - Intramuros-Ermita-Malate-Port Area, Manila is composed of the",,,,,MANILA/METRO MANILA,ALL OTHER STREETS,AGNO,ESTRELLA,RR,Residential - Regular,5090.0
raw,"RDO NO. 33 - Intramuros-Ermita-Malate-Port Area, Manila is composed of the",,,,,MANILA/METRO MANILA,ALL OTHER STREETS,AGNO,CASTRO - DAGONOY,RR,Residential - Regular,5090.0
raw,"RDO NO. 33 - Intramuros-Ermita-Malate-Port Area, Manila is composed of the",,,,,MANILA/METRO MANILA,ALL OTHER STREETS,AGNO,CASTRO - DAGONOY,RR,Residential - Regular,5090.0
raw,"RDO NO. 33 - Intramuros-Ermita-Malate-Port Area, Manila is composed of the",,,,,MANILA/METRO MANILA,ALL OTHER STREETS,AGNO,ESTRELLA,RR,Residential - Regular,4420.0
raw,"RDO NO. 33 - Intramuros-Ermita-Malate-Port Area, Manila is composed of the",,,,,MANILA/METRO MANILA,ALL OTHER STREETS,AGNO,ESTRELLA,RR,Residential - Regular,4420.0
raw,"RDO NO. 33 - Intramuros-Ermita-Malate-Port Area, Manila is composed of the",,,,,MANILA/METRO MANILA,ALL OTHER STREETS,AGNO,CASTRO - DAGONOY,RR,Residential - Regular,4420.0
raw,"RDO NO. 33 - Intramuros-Ermita-Malate-Port Area, Manila is composed of the",,,,,MANILA/METRO MANILA,ALL OTHER STREETS,AGNO,CASTRO - DAGONOY,RR,Residential - Regular,4420.0
raw,"RDO NO. 33 - Intramuros-Ermita-Malate-Port Area, Manila is composed of the",,,,,MANILA/METRO MANILA,ALL OTHER STREETS,AGNO,LAWIN-ESTRELLA,RR,Residential - Regular,3625.0
raw,"RDO NO. 33 - Intramuros-Ermita-Malate-Port Area, Manila is composed of the",,,,,MANILA/METRO MANILA,ALL OTHER STREETS,AGNO,ESTRELLA,RR,Residential - Regular,3400.0
