region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(MARCELINO,E FERNANDEZ        (SAN,U N AVENUE,CR,Commercial - Regular,18000.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(MARCELINO,LOOBAN,EST DE TANGUE-UN AVENUE,CR,Commercial - Regular,7050.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(MARCELINO,U N AVENUE,D ROMUALDEZ-TANGUE,CR,Commercial - Regular,22500.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(MARCELINO,U N AVENUE,D ROMUALDEZ-TANGUE,RC,Residential - Condominium,37500.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(MARCELINO,U N AVENUE,D ROMUALDEZ-TANGUE,X,Special / Other,10500.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),ALL OTHER STREETS,ARROCEROS - AYALA BLVD,CR,Commercial - Regular,10000.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),ALL OTHER STREETS,ARROCEROS - AYALA BLVD,RR,Residential - Regular,3400.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),E FERNANDEZ,AYALA BLVD-ZOBEL,CR,Commercial - Regular,23400.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),E FERNANDEZ,AYALA BLVD-ZOBEL,CR,Commercial - Regular,18000.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),E FERNANDEZ,ARROCEROS - AYALA BLVD,CR,Commercial - Regular,12000.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),E FERNANDEZ,AYALA BLVD - UN AVENUE,CR,Commercial - Regular,12000.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),E FERNANDEZ,AYALA BLVD - UN AVENUE,X,Special / Other,6000.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),E FERNANDEZ,AYALA BLVD-ZOBEL,CR,Commercial - Regular,12000.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),SYLVIA,AYALA BLVD-ROMUALDEZ,CR,Commercial - Regular,13650.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),SYLVIA,AYALA BLVD-ROMUALDEZ,CR,Commercial - Regular,10500.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),SYLVIA,AYALA BLVD-ROMUALDEZ,CR,Commercial - Regular,7000.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),T AYALA,MERCEDEZ-ROMUALDEZ,CR,Commercial - Regular,12480.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),T AYALA,MERCEDEZ-ROMUALDEZ,CR,Commercial - Regular,9600.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),T AYALA,MERCEDEZ-D ROMUALDEZ,CR,Commercial - Regular,6400.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),T M KALAW,TAFT AVE - E FERNANDEZ,CR,Commercial - Regular,20500.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),TAFT AVENUE,AYALA BLVD - UN AVENUE,CR,Commercial - Regular,25000.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),TAFT AVENUE,AYALA BLVD - UN AVENUE,X,Special / Other,7700.0
raw,RDO No. 34 - Paco-Pandacan-Sta. Ana-San Andres is composed of the followin,,,,,MANILA/METRO MANILA,(SAN MARCELINO),U N AVENUE (ISAAC,TAFT AVE - E FERNANDEZ,CR,Commercial - Regular,15000.0
