region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,,RR,Residential - Regular,103.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,,CR,Commercial - Regular,300.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,RR,Residential - Regular,150.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A1,Agricultural - A1,9.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A2,Agricultural - A2,6.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A3,Agricultural - A3,3.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A4,Agricultural - A4,5.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A5,Agricultural - A5,3.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A6,Agricultural - A6,9.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A7,Agricultural - A7,3.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A8,Agricultural - A8,2.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A10,Agricultural - A10,2.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A12,Agricultural - A12,2.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A14,Agricultural - A14,2.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A15,Agricultural - A15,2.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A16,Agricultural - A16,4.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A23,Agricultural - A23,5.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A26,Agricultural - A26,2.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A36,Agricultural - A36,2.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A47,Agricultural - A47,2.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,,RR,Residential - Regular,56.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,,CR,Commercial - Regular,75.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,RR,Residential - Regular,46.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A1,Agricultural - A1,4.6
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A2,Agricultural - A2,3.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A3,Agricultural - A3,1.25
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A4,Agricultural - A4,1.6
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A5,Agricultural - A5,2.3
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A6,Agricultural - A6,4.25
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A7,Agricultural - A7,1.2
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A8,Agricultural - A8,1.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A9,Agricultural - A9,1.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A10,Agricultural - A10,1.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A11,Agricultural - A11,1.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A12,Agricultural - A12,1.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A13,Agricultural - A13,2.6
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A14,Agricultural - A14,1.4
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A15,Agricultural - A15,1.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A16,Agricultural - A16,1.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",ARMADO,NATIONAL ROAD,INTERIOR,A17,Agricultural - A17,1.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,,RR,Residential - Regular,150.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,,CR,Commercial - Regular,300.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,INTERIOR,RR,Residential - Regular,150.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,INTERIOR,CR,Commercial - Regular,200.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,INTERIOR,A1,Agricultural - A1,8.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,INTERIOR,A2,Agricultural - A2,5.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,INTERIOR,A3,Agricultural - A3,3.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,INTERIOR,A4,Agricultural - A4,4.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,INTERIOR,A5,Agricultural - A5,2.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,INTERIOR,A6,Agricultural - A6,8.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,INTERIOR,A7,Agricultural - A7,3.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,INTERIOR,A8,Agricultural - A8,2.0
raw,"RDO NO. 37 - San Jose, Occidental Mindoro is composed of the following Mun",,,,,"ABRA DE ILOG, OCCIDENTAL MINDORO",BALAO,NATIONAL ROAD,INTERIOR,A10,Agricultural - A10,2.0
