region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,2ND,,,(APD NO. 8,SAN JOSE,SAN JOSE,RR,Residential - Regular,4500.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,2ND,,,(APD NO. 8,SAN JOSE,SAN JOSE,CR,Commercial - Regular,7500.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,2ND,,,(APD NO. 8,SAN JOSE,SAN JOSE,RR,Residential - Regular,4500.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,2ND,,,(APD NO. 8,SAN JOSE,SAN JOSE,CR,Commercial - Regular,7500.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,4TH,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,RR,Residential - Regular,3600.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,4TH,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,CR,Commercial - Regular,5400.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,3RD,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,RR,Residential - Regular,3000.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,3RD,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,CR,Commercial - Regular,4500.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,2ND,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,RR,Residential - Regular,1700.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,1ST,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,RR,Residential - Regular,1100.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,4TH,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,RR,Residential - Regular,3600.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,4TH,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,CR,Commercial - Regular,5400.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,3RD,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,RR,Residential - Regular,3000.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,3RD,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,CR,Commercial - Regular,4500.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,2ND,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,RR,Residential - Regular,1700.0
raw,RDO No. 38 - North Quezon City is composed of the following Barangays:,,,1ST,,,ALICIA,ALL OTHER STREETS,BAGO BANTAY,RR,Residential - Regular,1100.0
