region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",CAPITOL HILLS,PAYATAS,RR,Residential - Regular,500.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",CAPITOL HILLS,PAYATAS,RR,Residential - Regular,500.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT  BOLIVA,CAPITOL,RR,Residential - Regular,500.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT  BOLIVA,CAPITOL,RR,Residential - Regular,500.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT CARMEL,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT CARMEL,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT CLEMENS,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT CLEMENS,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT ELBERT,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT ELBERT,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT ELIGON,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT ELIGON,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT EVEREST,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT EVEREST,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT FAIRWEATHER,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT FAIRWEATHER,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT FUJI,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT FUJI,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT HORIZON,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT HORIZON,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT HUBBARD,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT HUBBARD,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT KENT,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT KENT,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT RAINIER,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT RAINIER,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT RENDIJAI,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT RENDIJAI,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT RUSHMORE,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT RUSHMORE,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT SENAH,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT SENAH,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT SHOSTA,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT SHOSTA,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT VANCOUVER,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT VANCOUVER,CAPITOL,RR,Residential - Regular,700.0
raw,RDO No. 39 - South Quezon City is composed of the following Barangays:,,,,,,"ALL STS, UNDER APD",MT VERMONT,CAPITOL,RR,Residential - Regular,700.0
