region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,19 MAMALINGLING,MAMALINGLING,FISHPOND 1ST CLASS,A,Agricultural,20.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,19 MAMALINGLING,MAMALINGLING,RICELAND BAMBOOLAND,A,Agricultural,12.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,19 MAMALINGLING,MAMALINGLING INT,RESIDENTIAL INT,RR,Residential - Regular,60.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,19 MAMALINGLING,MAMALINGLING MAIN,RES 1ST CLASS,RR,Residential - Regular,120.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ABANON,PUROK I,ABANON PROP PROVL RD,RR,Residential - Regular,70.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ABANON,PUROK I,ABANON PROP PROVL RD,A,Agricultural,20.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ABANON,PUROK I,ABANON PROP PROVL RD,A1,Agricultural - A1,10.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ABANON,PUROK II,ABANON PROP PROVL RD,RR,Residential - Regular,45.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ABANON,PUROK II,ABANON PROP PROVL RD,A,Agricultural,15.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ABANON,PUROK II,ABANON PROP PROVL RD,A1,Agricultural - A1,10.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,AGDAO,AGDAO,ALONG PROV ROAD,RR,Residential - Regular,70.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,AGDAO,AGDAO,ALONG PROV ROAD,A,Agricultural,30.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ANO,ANO CENTRO,ANO ELEM SCH,RR,Residential - Regular,20.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ANO,ANO CENTRO,ANO ELEM SCH,A,Agricultural,10.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ANO,ANO CENTRO,ANO ELEM SCH,A2,Agricultural - A2,15.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ANO,ANO CENTRO,ANO ELEM SCH,A1,Agricultural - A1,5.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ANO,BOQUIG,ANO ELEM SCH,RR,Residential - Regular,20.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ANO,BOQUIG,ANO ELEM SCH,A,Agricultural,10.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ANO,BOQUIG,ANO ELEM SCH,A2,Agricultural - A2,15.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ANO,BOQUIG,ANO ELEM SCH,A1,Agricultural - A1,5.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ANO,SAGOR,ANO ELEM SCH,RR,Residential - Regular,20.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ANO,SAGOR,ANO ELEM SCH,A,Agricultural,10.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ANO,SAGOR,ANO ELEM SCH,A2,Agricultural - A2,15.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,ANO,SAGOR,ANO ELEM SCH,A1,Agricultural - A1,5.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,"May 31, 2017",,,,BACAYAO NORTE,ALL LOTS,ALONG BARANGAY ROAD,CR,Commercial - Regular,6000.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,"May 31, 2017",,,,BACAYAO NORTE,ALL LOTS,ALONG BARANGAY ROAD,RR,Residential - Regular,2500.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,"May 31, 2017",,,,BACAYAO NORTE,ALL LOTS,INTERIOR,RR,Residential - Regular,1500.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,"May 31, 2017",,,,BACAYAO NORTE,ALL LOTS,INTERIOR,A6,Agricultural - A6,250.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,"May 31, 2017",,,,BACAYAO NORTE,ALL LOTS,INTERIOR,A8,Agricultural - A8,250.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,"May 31, 2017",,,,BACAYAO NORTE,ALL LOTS,INTERIOR,A12,Agricultural - A12,500.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACAYAO NORTE,BACAYAO NORTE,FISHPOND,A,Agricultural,15.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACAYAO NORTE,BACAYAO NORTE,NIPALAND,A,Agricultural,12.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACAYAO NORTE,BACAYAO NORTE INT,RESIDENTIAL,RR,Residential - Regular,75.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACAYAO NORTE,BACAYAO NORTE MAIN,RESIDENTIAL 1ST CLASS,RR,Residential - Regular,120.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACAYAO SUR,BACAYAO RD INTERIOR,ORCHARD COCONUTLAND,RR,Residential - Regular,50.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACAYAO SUR,BACAYAO RD MAIN,ORCHARD COCONUTLAND,RR,Residential - Regular,100.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACAYAO SUR,BACAYAO SUR,FISHPOND 1ST CLASS,A,Agricultural,15.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACAYAO SUR,BACAYAO SUR,ORCHARD COCONUTLAND,A,Agricultural,12.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,BACNAR CENTRO,ALONG 311 WEATHER RD,RR,Residential - Regular,25.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,BACNAR CENTRO,ALONG 311 WEATHER RD,A,Agricultural,10.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,BACNAR CENTRO,ALONG 311 WEATHER RD,A2,Agricultural - A2,15.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,BACNAR CENTRO,ALONG 311 WEATHER RD,A1,Agricultural - A1,5.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,GULISAN,ALONG 311 WEATHER RD,RR,Residential - Regular,25.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,GULISAN,ALONG 311 WEATHER RD,A,Agricultural,10.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,GULISAN,ALONG 311 WEATHER RD,A2,Agricultural - A2,15.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,GULISAN,ALONG 311 WEATHER RD,A1,Agricultural - A1,5.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,MAMARLANG,GOING TO MALACANANG,RR,Residential - Regular,25.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,MAMARLANG,GOING TO MALACANANG,A,Agricultural,10.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,MAMARLANG,GOING TO MALACANANG,A2,Agricultural - A2,15.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,MAMARLANG,GOING TO MALACANANG,A1,Agricultural - A1,5.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,MAPASOL,GOING TO MALACANANG,RR,Residential - Regular,25.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,MAPASOL,GOING TO MALACANANG,A,Agricultural,10.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,MAPASOL,GOING TO MALACANANG,A2,Agricultural - A2,15.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,MAPASOL,GOING TO MALACANANG,A1,Agricultural - A1,5.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,PIAS,GOING TO MALACANANG,RR,Residential - Regular,25.0
raw,"RDO NO. 4 - Calasiao, West Pangasinan is composed of the following Cities",,,,,,BACNAR,PIAS,GOING TO MALACANANG,A,Agricultural,10.0
