region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),AGLIPAY,AGLIPAYAN CHURCH,RR,Residential - Regular,1200.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),AGLIPAY,AGLIPAY AN CHURCH,CR,Commercial - Regular,1500.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),ALL OTHER STREETS,S FELIPE PARISH SCH,RR,Residential - Regular,700.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),ALL OTHER STREETS,S FELIPE PARISH SCH,CR,Commercial - Regular,900.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),BONI AVE,MAYSILO- G AGLIPAY,RR,Residential - Regular,1250.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),BONI AVE,MAYSILO- G AGLIPAY,CR,Commercial - Regular,1400.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),BURGOS,S FELIPE SCHOOL,RR,Residential - Regular,1000.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),FRIDAY ST (CALLEJON),S FELIPE SCHOOL,RR,Residential - Regular,800.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),GOMEZ,HAGDAN BATO ITAAS,RR,Residential - Regular,1000.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),LOPEZ,BDRY NEW SANIGA,RR,Residential - Regular,1000.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),LUNA,PAG-ASA,RR,Residential - Regular,1000.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),MONDAY (CALLEJON),PAG-ASA,RR,Residential - Regular,800.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),PARAISO,BONI AVE,RR,Residential - Regular,1000.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),SATURDAY (CALLEJON),BONI AVE,RR,Residential - Regular,800.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),STAR,S FELIPE PARISH SCH,RR,Residential - Regular,900.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),SUNDAY (CALLEJON),S FELIPE PARISH SCH,RR,Residential - Regular,800.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),THURSDAY,S FELIPE PARISH SCH,RR,Residential - Regular,800.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),TUESDAY,S FELIPE PARISH SCH,RR,Residential - Regular,800.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,(BLUMINTRITT),WEDNESDAY,S FELIPE PARISH SCH,RR,Residential - Regular,800.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,ADDITION HILLS,ALL OTHER STREETS,SHAW BLVD,RR,Residential - Regular,22500.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,ADDITION HILLS,ALL OTHER STREETS,SHAW BLVD,CR,Commercial - Regular,32500.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,ADDITION HILLS,ALL OTHER STREETS,SHAW BLVD,RR,Residential - Regular,8000.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,ADDITION HILLS,ALL OTHER STREETS,SHAW BLVD,CR,Commercial - Regular,12500.0
raw,RDO No. 41 - Mandaluyong City is composed of the following Barangays:,,,,,,ADDITION HILLS,ALL OTHER STREETS,SHAW BLVD,RR,Residential - Regular,7000.0
