region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,BATIS,ALL OTHER CONDOMINIUMS,KABAYANAN-R FERNANDEZ,RC,Residential - Condominium,99000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,BATIS,ALL OTHER CONDOMINIUMS,KABAYANAN-R FERNANDEZ,PS,Parking Slot / Private School,69000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,BATIS,LITTLE BAGUIO GARDENS,KABAYANAN-R FERNANDEZ,RC,Residential - Condominium,126000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,BATIS,LITTLE BAGUIO GARDENS,KABAYANAN-R FERNANDEZ,PS,Parking Slot / Private School,88000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,CORAZON DE JESUS,ALL OTHER CONDOMINIUMS,N.DOMINGO/LT. ARTIAGA,RC,Residential - Condominium,64000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,CORAZON DE JESUS,ALL OTHER CONDOMINIUMS,N.DOMINGO/LT. ARTIAGA,PS,Parking Slot / Private School,45000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,CORAZON DE JESUS,CLAIREMONT HILLS PARK SUITES,ALFONSO XIII/ARTIAGA,RC,Residential - Condominium,92000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,CORAZON DE JESUS,CLAIREMONT HILLS PARK SUITES,ALFONSO XIII/ARTIAGA,PS,Parking Slot / Private School,65000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,CORAZON DE JESUS,LAUREL MANSION CLASSIQUE,M. PATERNO,RC,Residential - Condominium,59000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,CORAZON DE JESUS,LAUREL MANSION CLASSIQUE,M. PATERNO,PS,Parking Slot / Private School,42000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,CORAZON DE JESUS,ROYAL VIEW MANSION,LT ARTIAGA,RC,Residential - Condominium,63000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,CORAZON DE JESUS,ROYAL VIEW MANSION,LT ARTIAGA,PS,Parking Slot / Private School,44000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,CORAZON DE JESUS,SUNDAY HOMES CONDOMINIUM CORP.,N.DOMINGO/LT. ARTIAGA,RC,Residential - Condominium,60000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,CORAZON DE JESUS,SUNDAY HOMES CONDOMINIUM CORP.,N.DOMINGO/LT. ARTIAGA,PS,Parking Slot / Private School,42000.0
raw,RDO No. 42 - San Juan City is composed of the following Barangays:,,,6TH,N C R,SAN JUAN CITY,GREENHILLS,ALL OTHER CONDOMINIUMS,EISENHOWER,RC,Residential - Condominium,60000.0
