region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 43B - West Pasig was consolidated,,,,,,ALL OTHER STREETS,ALLEY,PEDESTRIAN,RR,Residential - Regular,1000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,ALL OTHER STREETS,CALLEJON,ONE LANE ROAD,RR,Residential - Regular,1500.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,ALL OTHER STREETS,VILLA SULA,M H DEL PILAR,RR,Residential - Regular,2500.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,ALL OTHER STREETS,VILLA SULA,M H DEL PILAR,CR,Commercial - Regular,3000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,19 DE FEBRERO,,RR,Residential - Regular,3500.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,19 DE FEBRERO,,RR,Residential - Regular,3000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,19 DE FEBRERO,PASIG BLVD - END,RR,Residential - Regular,800.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,19 DE FEBRERO,,RR,Residential - Regular,275.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,A FLORES,PASIG BLVD-MRR,RR,Residential - Regular,4500.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,A FLORES,PASIG BLVD-MRR,RR,Residential - Regular,4000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,ALL OTHER STREETS,PASIG BLVD - END,RR,Residential - Regular,4500.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,ALL OTHER STREETS,PASIG BLVD - END,CR,Commercial - Regular,7000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,ALL OTHER STREETS,PASIG BLVD - END,RR,Residential - Regular,4000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,ALL OTHER STREETS,PASIG BLVD - END,CR,Commercial - Regular,6000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,ALL OTHER STREETS,LAKEVIEW SUBD,RR,Residential - Regular,800.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,ALLEY-INTERIOR,PEDESTRIAN,RR,Residential - Regular,1500.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,ALLEY-INTERIOR,PEDESTRIAN,RR,Residential - Regular,1000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,APLAYA,PASIG BLVD-MRR,CR,Commercial - Regular,6000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,APLAYA,PASIG BLVD-MRR,I,Industrial,10000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,APLAYA,PASIG BLVD-MRR,RR,Residential - Regular,4000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,APLAYA,CANLEY ROAD,CR,Commercial - Regular,1000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,ARAYAT,LAKEVIEW DRIVE - PASIG BLVD.,RR,Residential - Regular,9000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,ARAYAT,LAKEVIEW DRIVE - PASIG BLVD.,I,Industrial,12000.0
raw,RDO No. 43B - West Pasig was consolidated,,,,,,BAGONG ILOG,BANNER,CANLEY-END,RR,Residential - Regular,9000.0
