region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,AGUHO,ALL OTHER ST.,G. DE BORJA- AGUHO,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,AGUHO,ALL OTHER ST.,G. DE BORJA- AGUHO,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,AGUHO,E. QUIOGUE ST.,G. DE BORJA (PAT. RIVER),RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,AGUHO,E. QUIOGUE ST.,G. DE BORJA (PAT. RIVER),RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,AGUHO,G. DE BORJA ST.,M. ALMEDA ST. - T. SULIT,RR,Residential - Regular,3200.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,AGUHO,G. DE BORJA ST.,M. ALMEDA ST. - T. SULIT,RR,Residential - Regular,3200.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,AGUHO,P. HERERRA ST.,B.MORCILLA-G. DE BORJA,RR,Residential - Regular,3200.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,AGUHO,P. HERERRA ST.,B.MORCILLA-G. DE BORJA,RR,Residential - Regular,3200.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,AGUHO,T. SULIT ST.,G. DE BORJA- AGUHO,RR,Residential - Regular,2800.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,AGUHO,T. SULIT ST.,G. DE BORJA- AGUHO,RR,Residential - Regular,2800.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,ALONG SANTA ANA RIVER,ALL OTHER ST.,NA BATO,GP,General Purpose,1000.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,ALONG SANTA ANA RIVER,ALL OTHER ST.,NA BATO,RR,Residential - Regular,1400.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,ALONG SANTA ANA RIVER,ALL OTHER ST.,NA BATO,GP,General Purpose,1000.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,ALONG SANTA ANA RIVER,ALL OTHER ST.,NA BATO,RR,Residential - Regular,1400.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MAGTANGGOL,ALL OTHER ST.,M. ALMEDA-D. SALONGA ST.,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MAGTANGGOL,ALL OTHER ST.,M. ALMEDA-D. SALONGA ST.,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MAGTANGGOL,D. SALONGA ST.,FC. CRUZ-S. CASTILLO ST.,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MAGTANGGOL,D. SALONGA ST.,FC. CRUZ-S. CASTILLO ST.,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MAGTANGGOL,FC. CRUZ ST.,M. ALMEDA-D. SALONGA,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MAGTANGGOL,FC. CRUZ ST.,M. ALMEDA-D. SALONGA,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MAGTANGGOL,M. ALMEDA ST.,S. CASTILLO-TULAY NA BATO,RR,Residential - Regular,3200.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MAGTANGGOL,M. ALMEDA ST.,S. CASTILLO-TULAY NA BATO,RR,Residential - Regular,3200.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MAGTANGGOL,S. CASTILLO ST.,M. ALMEDA-D. SALONGA ST.,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MAGTANGGOL,S. CASTILLO ST.,M. ALMEDA-D. SALONGA ST.,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MARTIRES DEL 96,ALL OTHER ST.,AGUHO-MARTIREZ BDY.,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MARTIRES DEL 96,ALL OTHER ST.,AGUHO-MARTIREZ BDY.,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MARTIRES DEL 96,BAGONG CALZADA STREET,M. ALMEDA-PATEROS,RR,Residential - Regular,3200.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MARTIRES DEL 96,BAGONG CALZADA STREET,M. ALMEDA-PATEROS,RR,Residential - Regular,3200.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MARTIRES DEL 96,G. MANALO ST.,T. SULIT-M. ALMEDA ST.,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MARTIRES DEL 96,G. MANALO ST.,T. SULIT-M. ALMEDA ST.,RR,Residential - Regular,2300.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MARTIRES DEL 96,M. ALMEDA ST.,MARTIREZ DEL 96-PATEROS B,CR,Commercial - Regular,4000.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MARTIRES DEL 96,M. ALMEDA ST.,MARTIREZ DEL 96-PATEROS B,CR,Commercial - Regular,4000.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MARTIRES DEL 96,MARTIREZ DEL 96 ST.,T. SULIT ST.- M. ALMEDA ST,RR,Residential - Regular,3200.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MARTIRES DEL 96,MARTIREZ DEL 96 ST.,T. SULIT ST.- M. ALMEDA ST,RR,Residential - Regular,3200.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MARTIRES DEL 96,T. SULIT ST.,AGUHO-MARTIREZ BDY.,RR,Residential - Regular,2800.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,MARTIRES DEL 96,T. SULIT ST.,AGUHO-MARTIREZ BDY.,RR,Residential - Regular,2800.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,POBLACION,A. BONIFACIO ST.,G. FLORES-COL.P. TANGCO,RR,Residential - Regular,2800.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,POBLACION,A. BONIFACIO ST.,G. FLORES-COL.P. TANGCO,RR,Residential - Regular,2800.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,POBLACION,A. MABINI,B. MORCILLA -ALMEDA ST.,RR,Residential - Regular,2800.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,POBLACION,A. MABINI,B. MORCILLA -ALMEDA ST.,RR,Residential - Regular,2800.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,POBLACION,ALL OTHER ST.,S. TUASON-G. DE BORJA,RR,Residential - Regular,2800.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,POBLACION,ALL OTHER ST.,S. TUASON-G. DE BORJA,RR,Residential - Regular,2800.0
raw,RDO No. 44  -  Taguig City/Pateros is composed of the following City and Mun,,1995-10-15,,,OF PATEROS,POBLACION,C. ALMEDA ST.,B. MORCILLA -ALMEDA ST.,RR,Residential - Regular,3200.0
