region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 45 - Marikina City is composed of the following Cities and Municip,,,4TH,:,,,(SAN PABLO ST.) M. SANTOS ST. EXT.,STO. NINO-CIRCUM. RD,RR,Residential - Regular,6000.0
raw,RDO No. 45 - Marikina City is composed of the following Cities and Municip,,,4TH,:,,,(SAN PABLO ST.) M. SANTOS ST. EXT.,CIRCUM RD-JOYOUS HGTS,RR,Residential - Regular,5500.0
raw,RDO No. 45 - Marikina City is composed of the following Cities and Municip,,,4TH,:,,,(TEACHER )SUMMERVILLE,PINAGMISAHAN ROAD,RR,Residential - Regular,3750.0
raw,RDO No. 45 - Marikina City is composed of the following Cities and Municip,,,4TH,:,,,(UNDEVELOP),MARCOS HIWAY,RR,Residential - Regular,2875.0
raw,RDO No. 45 - Marikina City is composed of the following Cities and Municip,,,4TH,:,,,(UNDEVELOP),MARCOS HIGHWAY,RR,Residential - Regular,2500.0
raw,RDO No. 45 - Marikina City is composed of the following Cities and Municip,,,4TH,:,,,102 Plaza Tower I to III *,Along Marcos Highway & within Pagarai Hills,CC,Commercial - Condominium,47500.0
raw,RDO No. 45 - Marikina City is composed of the following Cities and Municip,,,4TH,:,,,102 Plaza Tower I to III *,Along Marcos Highway & within Pagarai Hills,RC,Residential - Condominium,37500.0
raw,RDO No. 45 - Marikina City is composed of the following Cities and Municip,,,6TH,:,,,1ST ST.   **,Mendoza - E. Manalo,CR,Commercial - Regular,16500.0
raw,RDO No. 45 - Marikina City is composed of the following Cities and Municip,,,6TH,:,,,"2ND ST., 3RD ST., 4TH ST.   **",P. Antonio (Guerilla) - E. Mendoza,CR,Commercial - Regular,16500.0
raw,RDO No. 45 - Marikina City is composed of the following Cities and Municip,,,4TH,:,,,4K ROAD*,,RR,Residential - Regular,4500.0
raw,RDO No. 45 - Marikina City is composed of the following Cities and Municip,,,6TH,:,,,"5th, 7th",P. Antonio (Guerilla) - Aquilina,CR,Commercial - Regular,15000.0
raw,RDO No. 45 - Marikina City is composed of the following Cities and Municip,,,6TH,:,,,"6th,    **",P. Antonio (Guerilla) - Marikina City Engr Office),CR,Commercial - Regular,16500.0
