region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,ABESAMIS COMPOUND,ATIS-DUHAT,RR,Residential - Regular,420.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,ALL OTHER LOTS,ATIS-DUHAT,RR,Residential - Regular,200.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,ALL OTHER LOTS,ATIS-DUHAT,GP,General Purpose,150.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,ALL OTHER LOTS,ATIS-DUHAT,A50,Agricultural - A50,50.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,ALL OTHER LOTS,ATIS-DUHAT,A1,Agricultural - A1,80.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,ATIS ST.,LANGKA-MANGGA,RR,Residential - Regular,210.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,ATIS ST.,MANGGA - SEASHORE,RR,Residential - Regular,185.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,ATIS ST.,QUEZON AVE.-MACOPA,RR,Residential - Regular,735.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,ATIS ST.,MACOPA-LANGKA,RR,Residential - Regular,315.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,AURORA AVE.,LANGKA-MANGGA,RR,Residential - Regular,840.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,AURORA AVE.,MANGGA - SEASHORE,RR,Residential - Regular,185.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,AURORA AVE.,QUEZON AVE.-MACOPA,RR,Residential - Regular,735.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,AVOCADO ST.,MANGGA - SEASHORE,RR,Residential - Regular,185.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,BAYABAS ST.,LANGKA-MANGGA,RR,Residential - Regular,210.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,BAYABAS ST.,MANGGA - SEASHORE,RR,Residential - Regular,185.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,DON MARIANO SANTOS AVE.,MLA.EAST RD-MEDALVA SUBD.,RR,Residential - Regular,850.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,DUHAT ST.,LANGKA-MANGGA,RR,Residential - Regular,210.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,DUHAT ST.,MANGGA - SEASHORE,RR,Residential - Regular,185.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,DUHAT ST.,QUEZON AVE.-MACOPA,RR,Residential - Regular,735.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,IBAÑEZ ST.,PERDIGUERRA-TOLENTINO,RR,Residential - Regular,630.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,KAIMITO ST.,MANGGA - SEASHORE,RR,Residential - Regular,185.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,KAIMITO ST.,QUEZON AVE.-MACOPA,RR,Residential - Regular,735.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,MACOPA ST.,ATIS-DUHAT,RR,Residential - Regular,735.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,MANGGA ST.,ATIS-DUHAT,RR,Residential - Regular,210.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,,ANGONO,AURORA SUBDIVISIONS,STA. LUCIA,ATIS-DUHAT,RR,Residential - Regular,630.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,4TH,:  RIZAL,ANGONO,BAGUMBAYAN,ALL OTHER STREETS,LAZARO ST. - SEASHORE,CR,Commercial - Regular,3000.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,4TH,:  RIZAL,ANGONO,BAGUMBAYAN,ALL OTHER STREETS,LAZARO ST. - SEASHORE,RR,Residential - Regular,1500.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,4TH,:  RIZAL,ANGONO,BAGUMBAYAN,ALL OTHER STREETS,LAZARO ST. - SEASHORE,GP,General Purpose,600.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,4TH,:  RIZAL,ANGONO,BAGUMBAYAN,ALL OTHER STREETS,LAZARO ST. - SEASHORE,A1,Agricultural - A1,500.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,:  RIZAL,ANGONO,BAGUMBAYAN,ALL OTHER STREETS,CAPT ALANO ST.-SEASHORE,CR,Commercial - Regular,900.0
raw,RDO No. 46 - Cainta-Taytay is composed of the following Municipalities:,,,,:  RIZAL,ANGONO,BAGUMBAYAN,ALL OTHER STREETS,CAPT ALANO ST.-SEASHORE,RR,Residential - Regular,850.0
