region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),ALEXANDRE HOUSE CONDOMINIUM,Amorsolo Street,CC,Commercial - Condominium,42000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),AMOROSOLO CONDOMINIUM,Amorsolo Street,CC,Commercial - Condominium,42000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),ASIA TOWER,Paseo de Roxas,CC,Commercial - Condominium,68000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),ASIAN  MANSION,"Dela, Rosa St",CC,Commercial - Condominium,48000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),CACHO GONZALES CONDOMINIUM,Aguirre Street,CC,Commercial - Condominium,48000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),CATTLEYA  CONDOMINIUM,Salcedo Street,CC,Commercial - Condominium,48000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),CENTRUM CONDOMINIUM,Salcedo Street,CC,Commercial - Condominium,42000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),CONDOMINIUMS & TOWNHOUSES,,EFFECTIVITYDATE,EFFECTIVITYDATE,35808.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),EAST DRIVE,,CR,Commercial - Regular,230000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),HOTEL DRIVE,,CR,Commercial - Regular,230000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),NORTH DRIVE,,CR,Commercial - Regular,230000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),POSTAL DRIVE,,CR,Commercial - Regular,230000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),SOUTH DRIVE,,CR,Commercial - Regular,230000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,AYALA CENTER (MAKATI COMMERCIAL CENTER),WEST DRIVE,,CR,Commercial - Regular,230000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,ALEJANDRINO,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,APOLINARIO ST,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,CAPT. M. REYES,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,CAPT. M. REYES,EDSA EXTENSION,CR,Commercial - Regular,4500.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,EDSA,EDSA EXTENSION,CR,Commercial - Regular,10000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,EVANGELISTA,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. A. BELARMINO,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. A. BONIFACIO,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. A. LIM,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. A. LUNA,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. CAILLES,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. CAILLES,EDSA EXTENSION,CR,Commercial - Regular,4500.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. DEL PILAR,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. E. MACABULOS,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. G. DEL PILAR,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. J. LACUNA,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. M. HIZON,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. M. TINIO,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. MALVAR,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. MASCARDO,EDSA EXTENSION,RR,Residential - Regular,4000.0
raw,RDO NO. 47 - East Makati City is composed of the following Barangays:,,,,,,BANGKAL,GEN. N. CAPINPIN,EDSA EXTENSION,RR,Residential - Regular,4000.0
