region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PAREDES AVENUE,ALL OTHER STREETS,GIL PUYAT AVE,CR,Commercial - Regular,30000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PAREDES AVENUE,ALL OTHER STREETS,GIL PUYAT AVE,RR,Residential - Regular,18000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PAREDES AVENUE,REYNALDO ST,GIL PUYAT AVE,CR,Commercial - Regular,30000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PAREDES AVENUE,REYNALDO ST,GIL PUYAT AVE,RR,Residential - Regular,18000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PAREDES AVENUE,SAN ANTONIO,GIL PUYAT AVE,RR,Residential - Regular,18000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PAREDES AVENUE,SAN ANTONIO,GIL PUYAT AVE,CR,Commercial - Regular,30000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PAREDES AVENUE,TENGCO ST,GIL PUYAT AVE,CR,Commercial - Regular,30000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PAREDES AVENUE,TENGCO ST,GIL PUYAT AVE,RR,Residential - Regular,18000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PAREDES AVENUE,VAN BUREN,GIL PUYAT AVE,RR,Residential - Regular,18000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PIO DEL PILAR - SOUTH  (ARNAIZ),ARGUELLES,SS HIWAY - PASAY,CR,Commercial - Regular,30000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PIO DEL PILAR - SOUTH  (ARNAIZ),ARGUELLES,SS HIWAY - PASAY,RR,Residential - Regular,18000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PIO DEL PILAR - SOUTH  (ARNAIZ),ARNAIZ AVE (PASAY ROAD),SS HIWAY - PASAY,CR,Commercial - Regular,70000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PIO DEL PILAR - SOUTH  (ARNAIZ),BALDERAMA (VALDERAMA),SS HIWAY - PASAY,CR,Commercial - Regular,30000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PIO DEL PILAR - SOUTH  (ARNAIZ),BALDERAMA (VALDERAMA),SS HIWAY - PASAY,RR,Residential - Regular,18000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PIO DEL PILAR - SOUTH  (ARNAIZ),BATANGAS,SS HIWAY - PASAY,CR,Commercial - Regular,30000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PIO DEL PILAR - SOUTH  (ARNAIZ),BATANGAS,SS HIWAY - PASAY,RR,Residential - Regular,18000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PIO DEL PILAR - SOUTH  (ARNAIZ),BEN HARRIZON,SS HIWAY - PASAY,CR,Commercial - Regular,30000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PIO DEL PILAR - SOUTH  (ARNAIZ),BEN HARRIZON,SS HIWAY - PASAY,RR,Residential - Regular,18000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PIO DEL PILAR - SOUTH  (ARNAIZ),CALHOUN (MERRY CALON),SS HIWAY - PASAY,RR,Residential - Regular,18000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PIO DEL PILAR - SOUTH  (ARNAIZ),CAPT. APOLINARIO,SS HIWAY - PASAY,CR,Commercial - Regular,30000.0
raw,RDO No. 48 - West Makati City is composed of the following Barangays:,,,6TH,,LAND - MAKATI EXECUTIVE TOWER II,PIO DEL PILAR - SOUTH  (ARNAIZ),CAPT. APOLINARIO,SS HIWAY - PASAY,RR,Residential - Regular,18000.0
