region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,ALFARO,AYALA AVENUE,,CR,Commercial - Regular,440000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,ALFARO,BAUTISTA,,CR,Commercial - Regular,201000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,ALFARO,GALLARDO,,CR,Commercial - Regular,201000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,ALFARO,GERONIMO,,CR,Commercial - Regular,201000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,ALFARO,H. V. DELA COSTA,,CR,Commercial - Regular,201000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,ANTEL TOWER,ATHENAEUM CONDOMINIUM,ALONG LP LEVISTE,RC,Residential - Condominium,47500.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,ANTEL TOWER,AVIGNON TOWER (Avingnon),COR SAN AGUSTIN AND HV DELA COSTA,RC,Residential - Condominium,56500.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,AYALA TRIANGLE,BA LEPANTO,ALONG PASEO DE ROXAS,CC,Commercial - Condominium,65000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,AYALA TRIANGLE,BANCO DE ORO PLAZA,ALONG PASEO DE ROXAS,CC,Commercial - Condominium,65000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,AYALA TRIANGLE,BDO CORPORATE CENTER NORTH TOWER,HV DELA COSTA COR MAKATI AVE,CC,Commercial - Condominium,65000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,AYALA TRIANGLE,BDO CORPORATE CENTER SOUTH TOWER,HV DELA COSTA COR MAKATI AVE,CC,Commercial - Condominium,65000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,AYALA TRIANGLE,BPI CARD CENTER,ALONG PASEO DE ROXAS,CC,Commercial - Condominium,65000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,AYALA TRIANGLE,CAMBRIDGE CENTRE,TORDESILLAS COR GALLARDO,CC,Commercial - Condominium,65000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,AYALA TRIANGLE,CCH BLDG.,LP LEVISTE NEAR COR VELASQUEZ,CC,Commercial - Condominium,65000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,BEL AIR (SALCEDO VILLAGE),139 CORPORATE CENTER,VALERO NEAR COR  SEDENO,CC,Commercial - Condominium,75000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,BEL AIR (SALCEDO VILLAGE),146 ALFARO PLACE,ALONG LP LEVISTE NEAR COR VILLAR,CC,Commercial - Condominium,57000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,BEL AIR (SALCEDO VILLAGE),6797 AYALA,ALONG AYALA AVENUE,CC,Commercial - Condominium,67500.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,BEL AIR (SALCEDO VILLAGE),88 CORPORATE CENTER,VALERO COR SEDENO,CC,Commercial - Condominium,75000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,BEL AIR (SALCEDO VILLAGE),ACS PLAZA,HV DELA COSTA COR TORDESILLAS,CC,Commercial - Condominium,65000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,BEL AIR (SALCEDO VILLAGE),ADAMSON CENTER,ALONG SOLIMAN,CC,Commercial - Condominium,57000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,BEL AIR (SALCEDO VILLAGE),ALPAP I BLDG.,ALONG LP LEVISTE NEAR COR SEDENO,CC,Commercial - Condominium,57000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,BEL AIR (SALCEDO VILLAGE),ALPHA SALCEDO,"COR HV DELA COSTA, SANCHEZ & BAUTISTA",RC,Residential - Condominium,60000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,BEL AIR (SALCEDO VILLAGE),ANTEL CORPORATE CENTER,ALONG VLARO  COR V. A RUFINO,CC,Commercial - Condominium,70000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,,,,BEL AIR (SALCEDO VILLAGE),ANTEL PLATINUM TOWER,ALONG SAN AGUSTIN NEAR COR VILLAR,RC,Residential - Condominium,65000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,7TH,,,BEL AIR (SALCEDO VILLAGE),AYALA AVENUE,EDSA to Paseo de Roxas,CR,Commercial - Regular,550000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,7TH,,,BEL AIR (SALCEDO VILLAGE),AYALA AVENUE,Paseo de Roxas to Gil Puyat,CR,Commercial - Regular,480000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,7TH,,,BEL AIR (SALCEDO VILLAGE),BAUTISTA,Paseo de Roxas to Gil Puyat,CR,Commercial - Regular,375000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,7TH,,,BEL AIR (SALCEDO VILLAGE),GALLARDO,Paseo de Roxas to Gil Puyat,CR,Commercial - Regular,375000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,7TH,,,BEL AIR (SALCEDO VILLAGE),GERONIMO,Paseo de Roxas to Gil Puyat,CR,Commercial - Regular,375000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,7TH,,,BEL AIR (SALCEDO VILLAGE),H.V. DELA COSTA,Paseo de Roxas to Gil Puyat,CR,Commercial - Regular,400000.0
raw,RDO No. 50 - South Makati City is composed of the following Barangays:,,,7TH,,,BEL AIR (SALCEDO VILLAGE),L.P. LEVISTE,Paseo de Roxas to Gil Puyat,CR,Commercial - Regular,375000.0
