region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO NO. 51 - PASAY CITY,,,,,,(FORMERLY F. MUNOZ TRAMO LINE),ALL OTHER STREETS,FRANCISCO - VERGEL,RR,Residential - Regular,8000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,(FORMERLY F. MUNOZ TRAMO LINE),ALL OTHER STREETS,FRANCISCO - VERGEL,CR,Commercial - Regular,12000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,(FORMERLY F. MUNOZ TRAMO LINE),ALL OTHER STREETS,INTERIOR STREETS,RR,Residential - Regular,7500.0
raw,RDO NO. 51 - PASAY CITY,,,,,,(FORMERLY F. MUNOZ TRAMO LINE),TRAMO LINE,FRANCISCO - VERGEL,RR,Residential - Regular,9000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,(FORMERLY F. MUNOZ TRAMO LINE),VERGEL,TRAMO LINE - ZAMORA,RR,Residential - Regular,10000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,(FORMERLY F. MUNOZ TRAMO LINE),VERGEL,TRAMO LINE - ZAMORA,CR,Commercial - Regular,15000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,(FORMERLY F. MUNOZ TRAMO LINE),ZAMORA,FRANCISCO - VERGEL,RR,Residential - Regular,11000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,(FORMERLY F. MUNOZ TRAMO LINE),ZAMORA,FRANCISCO - VERGEL,CR,Commercial - Regular,17000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,(GRANADA),GRANADOS,A. LUNA - END,CR,Commercial - Regular,18000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,(GRANADA),LEVERIZA,LIBERTAD - LUCBAN,RR,Residential - Regular,14000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,(GRANADA),LEVERIZA,LIBERTAD - LUCBAN,CR,Commercial - Regular,20000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,(GRANADA),LUKBAN,TAFT AVE - LEVERIZA,RR,Residential - Regular,12000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,(GRANADA),LUKBAN,TAFT AVE - LEVERIZA,CR,Commercial - Regular,18000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1,ALL OTHER STREETS,,RR,Residential - Regular,1500.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1,KUYEGKENG,,RR,Residential - Regular,1500.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1,ROXAS BLVD,,RR,Residential - Regular,3500.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1,ROXAS BLVD,,CR,Commercial - Regular,4500.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1,ROXAS BLVD,,RC,Residential - Condominium,8000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1 ZONE 1,ALL OTHER STREETS,MLA-PASAY BDRY-R. SERVICE RD,RR,Residential - Regular,11000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1 ZONE 1,ALL OTHER STREETS,MLA-PASAY BDRY-R. SERVICE RD,CR,Commercial - Regular,18000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1 ZONE 1,ALL OTHER STREETS,,RR,Residential - Regular,3000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1 ZONE 1,KUYEGKENG,MLA-PASAY BDRY-R. LAYUG,RR,Residential - Regular,11000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1 ZONE 1,KUYEGKENG,MLA-PASAY BDRY-R. LAYUG,CR,Commercial - Regular,18000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1 ZONE 1,KUYEGKENG,,RR,Residential - Regular,3500.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1 ZONE 1,MAYTUBIG,MLA-PASAY BDRY-R. SERVICE RD,RR,Residential - Regular,11000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1 ZONE 1,MAYTUBIG,MLA-PASAY BDRY-R. SERVICE RD,CR,Commercial - Regular,18000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1 ZONE 1,ROXAS BLVD,MLA-PASAY BDRY-R. LAYUG,RR,Residential - Regular,47000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1 ZONE 1,ROXAS BLVD,MLA-PASAY BDRY-R. LAYUG,CR,Commercial - Regular,50000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1 ZONE 1,ROXAS BLVD,,RR,Residential - Regular,24000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,1 ZONE 1,ROXAS BLVD,,CR,Commercial - Regular,28000.0
raw,RDO NO. 51 - PASAY CITY,,,,,,10,ALL OTHER STREETS,ROXAS BLVD-HARRISON,RR,Residential - Regular,1500.0
raw,RDO NO. 51 - PASAY CITY,,,,,,10,ANTIPOLO,ROXAS BLVD-HARRISON,RR,Residential - Regular,1500.0
raw,RDO NO. 51 - PASAY CITY,,,,,,10,F B HARRISON,GIL PUYAT-ANTIPOLO,RR,Residential - Regular,2500.0
raw,RDO NO. 51 - PASAY CITY,,,,,,10,F B HARRISON,GIL PUYAT-ANTIPOLO,CR,Commercial - Regular,3500.0
