region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,(FORMERLY IMELDA AVE),B AQUINO AVENUE,NEW MANILA,GP,General Purpose,500.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,7TH,,,ASEANA BUSINESS PARK / BLVD 2000,BAGONG BUHAY ST,QUIRINO AVE,RR,Residential - Regular,7500.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,7TH,,,ASEANA BUSINESS PARK / BLVD 2000,BAGONG ILOG ST,QUIRINO AVE,RR,Residential - Regular,6500.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,7TH,,,ASEANA BUSINESS PARK / BLVD 2000,BAGONG ISLA,QUIRINO AVE,RR,Residential - Regular,6000.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,7TH,,,ASEANA BUSINESS PARK / BLVD 2000,BAGONG LIPUNAN ST,QUIRINO AVE,RR,Residential - Regular,5500.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,7TH,,,ASEANA BUSINESS PARK / BLVD 2000,BAGONG SIKAT ST,QUIRINO AVE,RR,Residential - Regular,4500.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,7TH,,,ASEANA BUSINESS PARK / BLVD 2000,BAGONG SILANG ST,QUIRINO AVE,RR,Residential - Regular,4500.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,7TH,,,ASEANA BUSINESS PARK / BLVD 2000,BAYANIHAN ST,QUIRINO AVE,RR,Residential - Regular,4500.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,7TH,,,ATHENS,BALIWAG,,RR,Residential - Regular,5000.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),1ST ST,COL E DE LEON,RR,Residential - Regular,300.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),2ND ST,COL E DE LEON,RR,Residential - Regular,300.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),3RD ST,COL E DE LEON,RR,Residential - Regular,300.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),4TH ST,COL E DE LEON,RR,Residential - Regular,300.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),5TH ST,COL E DE LEON,RR,Residential - Regular,300.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),6TH ST,COL E DE LEON,RR,Residential - Regular,300.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),7TH ST,COL E DE LEON,RR,Residential - Regular,300.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),8TH ST,COL E DE LEON,RR,Residential - Regular,300.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),9TH ST,COL E DE LEON,RR,Residential - Regular,300.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),BERNABE SUBD,SAN DIONISIO,RR,Residential - Regular,650.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),BERNARDO ST,DAMAYAN ST,RR,Residential - Regular,300.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),BUENAVENTURA,SAN DIONISIO,RR,Residential - Regular,400.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),BULI ST,BALTAO SUBD,CR,Commercial - Regular,1500.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),BULI ST,BALTAO SUBD,RR,Residential - Regular,730.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),DAMAYAN ST,ISAROG ST,RR,Residential - Regular,450.0
raw,RDO NO. 52 - Parañaque City is composed of the following Barangays:,,,,,,AVENUE),DANDAN ST,DE LEON ST,RR,Residential - Regular,300.0
