region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,ALL OTHER PROPERTIES,,GP,General Purpose,250.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,ALL OTHER STREETS,BF LAS PINAS,RR,Residential - Regular,2700.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,ALL OTHER STREETS,BF LAS PINAS,CR,Commercial - Regular,5000.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,ALL OTHER STREETS,BF LAS PINAS,RR,Residential - Regular,2300.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,ALL OTHER STREETS,BF LAS PINAS,CR,Commercial - Regular,5000.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,ALL OTHER STREETS,BF LAS PINAS,RR,Residential - Regular,1750.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,ALL OTHER STREETS,BF LAS PINAS,RR,Residential - Regular,1000.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,ALL OTHER STREETS,BF LAS PINAS,CR,Commercial - Regular,800.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,ALL OTHER STREETS,BF LAS PINAS,GP,General Purpose,500.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,ALL OTHER STREETS,BF LAS PINAS,GP,General Purpose,500.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,BF HOMES SUBD I,PILAR VILLAGE,RR,Residential - Regular,1000.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,BF HOMES SUBD I,PILAR VILLAGE,RR,Residential - Regular,500.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,DBP VILLAGE,BF HOMES ALMANZA,RR,Residential - Regular,4350.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,DBP VILLAGE,BF HOMES ALMANZA,RR,Residential - Regular,3200.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,DBP VILLAGE,BF HOMES ALMANZA,RR,Residential - Regular,1950.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,DBP VILLAGE,BF HOMES ALMANZA,RR,Residential - Regular,1200.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,DBP VILLAGE,BF HOMES ALMANZA,RR,Residential - Regular,1000.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,DBP VILLAGE,BF HOMES ALMANZ,RR,Residential - Regular,500.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,DONA JOSEFA SUB,BF HOMES,RR,Residential - Regular,300.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,DONA JOSEFA SUBD,BF HOMES,RR,Residential - Regular,3500.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,DONA JOSEFA SUBD,BF HOMES,RR,Residential - Regular,2300.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,DONA JOSEFA SUBD,BF HOMES,RR,Residential - Regular,1350.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,DONA JOSEFA SUBD,BF HOMES,RR,Residential - Regular,800.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,DONA JOSEFA SUBD,BF HOMES,RR,Residential - Regular,600.0
raw,RDO No. 53A - Las Piñas City is composed of the following Barangays:,,,,,LAS PINAS CITY,ALMANZA DOS,GLORIA CPD,PILAR VILLAGE,RR,Residential - Regular,4000.0
