region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,AYALA TOWNHOUSE,ACACIA & UNIV.,RC,Residential - Condominium,16000.0
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,AYALA TOWNHOUSE,ACACIA & UNIV.,RC,Residential - Condominium,16000.0
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,EMPLOYEES HOUSING,CAMACHILE AND PILI DR.,RR,Residential - Regular,11500.0
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,EMPLOYEES HOUSING,CAMACHILE AND PILI DR.,RR,Residential - Regular,10000.0
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,EMPLOYEES HOUSING,CAMACHILE AND PILI DR.,RR,Residential - Regular,4500.0
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,EMPLOYEES HOUSING,CAMACHILE AND PILI DR.,RR,Residential - Regular,11500.0
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,EMPLOYEES HOUSING,CAMACHILE AND PILI DR.,RR,Residential - Regular,10000.0
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,EMPLOYEES HOUSING,CAMACHILE AND PILI DR.,RR,Residential - Regular,4500.0
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,MADRIGAL BUSINESS PARK,COMMERCIAL CENTER,CR,Commercial - Regular,50000.0
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,MADRIGAL BUSINESS PARK,COMMERCIAL CENTER,CR,Commercial - Regular,40000.0
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,MADRIGAL BUSINESS PARK,COMMERCIAL CENTER,CR,Commercial - Regular,15000.0
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,MADRIGAL BUSINESS PARK,COMMERCIAL CENTER,CR,Commercial - Regular,50000.0
raw,RDO No. 53B - Muntinlupa City  is composed of the following Barangays:,,,,,,AEHP 1 & 2,MADRIGAL BUSINESS PARK,COMMERCIAL CENTER,CR,Commercial - Regular,40000.0
