region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",,,,OF CAVITE,(PIELA) SAMPLAOC III,PALAPALA,ALL LOTS,,RR,Residential - Regular,1000.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",,,,OF CAVITE,(PIELA) SAMPLAOC III,PALAPALA,ALL LOTS,,A50,Agricultural - A50,500.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",,,,OF CAVITE,(PIELA) SAMPLAOC III,PALAPALA,ALL LOTS,INTERIOR,RR,Residential - Regular,750.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",,,,OF CAVITE,(PIELA) SAMPLAOC III,PASONG BAYOG,ALL OTHER STREETS,,RR,Residential - Regular,1000.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",,,,OF CAVITE,(PIELA) SAMPLAOC III,PASONG BAYOG,ALL OTHER STREETS,,CR,Commercial - Regular,2000.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",,,,OF CAVITE,(PIELA) SAMPLAOC III,PASONG BAYOG,ALL OTHER STREETS,,A50,Agricultural - A50,500.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",,,,OF CAVITE,(PIELA) SAMPLAOC III,PASONG BAYOG,HAUSKON HOMES,,RR,Residential - Regular,3125.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",033-2022,"July 10, 2022",4TH,: CAVITE,BACOOR,ALIMA,ALL OTHER STREETS,ALONG ALL OTHER STREETS**,CR,Commercial - Regular,9500.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",033-2022,"July 10, 2022",4TH,: CAVITE,BACOOR,ALIMA,ALL OTHER STREETS,ALONG ALL OTHER STREETS**,RR,Residential - Regular,5500.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",033-2022,"July 10, 2022",4TH,: CAVITE,BACOOR,ALIMA,ALL OTHER STREETS,ALONG ALL OTHER STREETS**,I,Industrial,9000.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",033-2022,"July 10, 2022",4TH,: CAVITE,BACOOR,ALIMA,ALL OTHER STREETS,ALONG ALL OTHER STREETS**,X,Special / Other,8000.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",033-2022,"July 10, 2022",4TH,: CAVITE,BACOOR,ALIMA,ALL OTHER STREETS,ALONG ALL OTHER STREETS**,A6,Agricultural - A6,4000.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",033-2022,"July 10, 2022",4TH,: CAVITE,BACOOR,ALIMA,ALL OTHER STREETS,ALONG ALL OTHER STREETS**,A50,Agricultural - A50,2500.0
raw,"RDO No. 54A-Trece Martirez City, East Cavite and RDO No. 54B - Bacoor Cit",033-2022,"July 10, 2022",4TH,: CAVITE,BACOOR,ALIMA,ALL OTHER STREETS,INTERIOR**,CR,Commercial - Regular,7500.0
