region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,BAGONG TUBIG,AGUINALDO HW (SOUTH SIDE),OVERLOOKING THE LAKE,RR,Residential - Regular,10000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,BAGONG TUBIG,AGUINALDO HW (SOUTH SIDE),OVERLOOKING THE LAKE,CR,Commercial - Regular,15000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,BAGONG TUBIG,AGUINALDO HWAY (SOUTH SIDE),OVERLOOKING THE LAKE,RR,Residential - Regular,1350.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,DAPDAP,(TAGAYTAY-CALAMBA),IRUHIN BGRY BDRY LINE-CBM,RR,Residential - Regular,40.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,DAPDAP,(TAGAYTAY-CALAMBA),,RR,Residential - Regular,30.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,DAPDAP,NATIONAL ROAD,IRUHIN BGRY BDRY LINE-CBM,RR,Residential - Regular,145.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,DAPDAP,NATIONAL ROAD,,A,Agricultural,10.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP EAST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,RR,Residential - Regular,1500.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP EAST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,CR,Commercial - Regular,3000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP EAST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,A13,Agricultural - A13,1200.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP EAST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,A48,Agricultural - A48,1200.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP EAST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,A50,Agricultural - A50,1000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP EAST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,GP,General Purpose,1000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP EAST,TAGAYTAY-CALAMBA ROAD (NATIONAL ROAD - TAGAYTAY-CALAMBA),IRUHIN BRGY BDRY LINE-CBM,RR,Residential - Regular,6000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP EAST,TAGAYTAY-CALAMBA ROAD (NATIONAL ROAD - TAGAYTAY-CALAMBA),IRUHIN BRGY BDRY LINE-CBM,CR,Commercial - Regular,8000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP EAST,TAGAYTAY-CALAMBA ROAD (NATIONAL ROAD - TAGAYTAY-CALAMBA),IRUHIN BRGY BDRY LINE-CBM,A50,Agricultural - A50,1000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP WEST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,RR,Residential - Regular,1500.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP WEST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,CR,Commercial - Regular,3000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP WEST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,A13,Agricultural - A13,1200.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP WEST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,A48,Agricultural - A48,1200.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP WEST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,A50,Agricultural - A50,1000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP WEST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,GP,General Purpose,1200.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP WEST,ALL OTHER STREETS,IRUHIN BRGY BDRY LINE-CBM,X,Special / Other,2400.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP WEST,TAGAYTAY-CALAMBA ROAD (NATIONAL ROAD - TAGAYTAY-CALAMBA),IRUHIN BRGY BDRY LINE-CBM,RR,Residential - Regular,6000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP WEST,TAGAYTAY-CALAMBA ROAD (NATIONAL ROAD - TAGAYTAY-CALAMBA),IRUHIN BRGY BDRY LINE-CBM,CR,Commercial - Regular,8000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,"Aug 13, 2017",,,,DAPDAP WEST,TAGAYTAY-CALAMBA ROAD (NATIONAL ROAD - TAGAYTAY-CALAMBA),IRUHIN BRGY BDRY LINE-CBM,A50,Agricultural - A50,1000.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,FRANCISCO,BARRIO ROAD DIRT,ULAT RD TOLENTINO RD,RR,Residential - Regular,20.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,FRANCISCO,BARRIO ROAD DIRT,ULAT RD TOLENTINO RD,A,Agricultural,10.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,FRANCISCO,FORTUNATO SANTOS SUBD,ULAT RD TOLENTINO RD,RR,Residential - Regular,70.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,FRANCISCO,HOLLYWOOD,ULAT RD TOLENTINO RD,RR,Residential - Regular,400.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,FRANCISCO,TAGAYTAY CALAMBA RD,TOELNTINO BGY SUNGAY,RR,Residential - Regular,130.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,FRANCISCO,TAGAYTAY LUMIL ROAD,MAIN RD CMB 20,RR,Residential - Regular,50.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,FRANCISCO,TAGAYTAY ULAT RD,LUMIL TO CBM 19,RR,Residential - Regular,20.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,IRUHIN,7 BCT SUBD,SUNGAY-CALABUSO,RR,Residential - Regular,140.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,IRUHIN,ALL OTHER STREETS,SUNGAY-CALABUSO,RR,Residential - Regular,120.0
raw,"RDO No. 54A - Trece Martirez City, East Cavite is composed of the following",,,,,,IRUHIN,BAYANAN RD (DIRT RD),TAG-CALAMBA RD-TAGSILANG,RR,Residential - Regular,130.0
