region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BAGONG BAYAN,AZORES COURT,,RR,Residential - Regular,400.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BAGONG BAYAN,CRISPINA PARK SUBD,,RR,Residential - Regular,400.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BAGONG BAYAN,DONA MA. VILLAGE,,RR,Residential - Regular,400.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BAGONG POOK,BAGONG POOK SUBD,,RR,Residential - Regular,350.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BAGONG POOK,LAKESIDE SUBD,,APD,Agri - Permanently Devoted,350.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BO ATISAN,BRGY ROAD,,RR,Residential - Regular,50.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BO ATISAN,BRGY ROAD,,A,Agricultural,20.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BO ATISAN,BRGY ROAD,,A1,Agricultural - A1,10.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BO. BAUTISTA,BRGY ROAD,,RR,Residential - Regular,130.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BO. BAUTISTA,BRGY ROAD,,A,Agricultural,30.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BO. BAUTISTA,BRGY ROAD,,A1,Agricultural - A1,20.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BO. DOLORES,BO ROAD,,RR,Residential - Regular,100.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BO. DOLORES,BO ROAD,,A,Agricultural,30.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BO. DOLORES,BO ROAD,,A1,Agricultural - A1,20.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BRGY SAN RAFAEL,BRGY ROAD,,A,Agricultural,80.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BRGY SAN RAFAEL,BRGY ROAD,,A1,Agricultural - A1,60.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BRGY SAN RAFAEL,JAEL TOWN LAURELVILL,,RR,Residential - Regular,350.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,BRGY SAN RAFAEL,MAHARLIKA HIWAY,,GP,General Purpose,300.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,CONCEPCION,CONCEPCION VILLE SUBD,,RR,Residential - Regular,250.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,CONCEPCION,DONA EUSEBIA SUBD,,RR,Residential - Regular,250.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,CONCEPCION,LOZADA SUBD,,RR,Residential - Regular,200.0
raw,"RDO No. 55 - San Pablo City, East Laguna is composed of the following City",,,,,,CONCEPCION,MONFERO SUBD,,RR,Residential - Regular,300.0
