region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,CR,Commercial - Regular,4000.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,I,Industrial,2000.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,X,Special / Other,2000.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,GP,General Purpose,1000.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,A4,Agricultural - A4,800.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,A5,Agricultural - A5,700.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,A12,Agricultural - A12,500.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,A14,Agricultural - A14,500.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,A48,Agricultural - A48,500.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,A49,Agricultural - A49,400.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,I,Industrial,1500.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,RR,Residential - Regular,1000.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,GP,General Purpose,800.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,A4,Agricultural - A4,500.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,A5,Agricultural - A5,500.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,A12,Agricultural - A12,300.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,A14,Agricultural - A14,300.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,A48,Agricultural - A48,300.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,A49,Agricultural - A49,300.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,I,Industrial,950.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,RR,Residential - Regular,800.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,X,Special / Other,850.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,GP,General Purpose,450.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,A4,Agricultural - A4,350.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,A5,Agricultural - A5,325.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,A12,Agricultural - A12,250.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,A14,Agricultural - A14,190.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,A48,Agricultural - A48,175.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,ALONG BARANGAY ROAD,A49,Agricultural - A49,125.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,I,Industrial,700.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,RR,Residential - Regular,600.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,GP,General Purpose,375.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,A4,Agricultural - A4,300.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,A5,Agricultural - A5,250.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,A12,Agricultural - A12,200.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,A14,Agricultural - A14,100.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,A48,Agricultural - A48,110.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,ALL STREETS,INTERIOR LOTS,A49,Agricultural - A49,80.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,BITIN,RESORT,INTERIOR LOTS,A40,Agricultural - A40,2000.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",,"Oct 15, 2017",3RD,LAGUNA,BAY,BITIN,RESORT,INTERIOR LOTS,A40,Agricultural - A40,1250.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,CALO,ALL STREETS,ALONG NATIONAL ROAD,CR,Commercial - Regular,5500.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,CALO,ALL STREETS,ALONG NATIONAL ROAD,X,Special / Other,4000.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,CALO,ALL STREETS,ALONG NATIONAL ROAD,RR,Residential - Regular,3000.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,CALO,ALL STREETS,****INTERIOR LOTS,RR,Residential - Regular,2700.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,CALO,ALL STREETS,ALONG BARANGAY ROAD,CR,Commercial - Regular,4000.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,CALO,ALL STREETS,ALONG BARANGAY ROAD,X,Special / Other,3000.0
raw,"RDO No. 56 - Calamba City, Central Laguna is composed of the following Cit",059 - 2023,"Oct. 13, 2023",4TH,LAGUNA,BAY,CALO,ALL STREETS,ALONG BARANGAY ROAD,RR,Residential - Regular,2500.0
