region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BANGKAL,ALL LOTS,ALONG BARANGAY ROAD,RR,Residential - Regular,500.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BANGKAL,ALL LOTS,ALONG BARANGAY ROAD,GP,General Purpose,150.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BANGKAL,ALL LOTS,ALONG BARANGAY ROAD,A,Agricultural,100.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BARANGAY TRES,EL SOL SUBD.,,RR,Residential - Regular,500.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BARANGAY TRES,LIMCAOCO SUBD,,RR,Residential - Regular,500.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BAYOG,ALL LOTS,,RR,Residential - Regular,500.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BAYOG,ALL LOTS,,GP,General Purpose,150.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BAYOG,ALL LOTS,,A,Agricultural,150.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BIÑAN,BONIFACIO,,RR,Residential - Regular,1800.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BIÑAN,BONIFACIO,,CR,Commercial - Regular,2100.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BIÑAN,CALLEJON,,RR,Residential - Regular,500.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BIÑAN,CALLEJON,,CR,Commercial - Regular,600.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BIÑAN,CAPT. N. CASUBUAN,,RR,Residential - Regular,500.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BIÑAN,CAPT. N. CASUBUAN,,CR,Commercial - Regular,600.0
raw,"RDO No. 57 - Biñan City, West Laguna is composed of the following City and",,,,,,BIÑAN,DON F GANA,,RR,Residential - Regular,800.0
