region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1997-07-14,,BATANGAS,,ALANGILAN (SUBDIVISION),ALL LOTS,,RR,Residential - Regular,1250.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,ALANGILAN (SUBDIVISION),GULOD - SHELL,RR,Residential - Regular,765.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BALAGTAS,GULOD - SHELL,RR,Residential - Regular,175.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BALAGTAS,GULOD - SHELL,CR,Commercial - Regular,500.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BALETE,GULOD - SHELL,RR,Residential - Regular,100.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BALETE,GULOD - SHELL,A,Agricultural,67.5
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BANABA CENTER,GULOD - SHELL,RR,Residential - Regular,90.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BANABA CENTER,GULOD - SHELL,A,Agricultural,26.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BANABA EAST,GULOD - SHELL,RR,Residential - Regular,70.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BANABA EAST,GULOD - SHELL,A,Agricultural,21.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BANABA KANLURAN,GULOD - SHELL,RR,Residential - Regular,80.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BANABA KANLURAN,GULOD - SHELL,A,Agricultural,31.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BANABA SOUTH,GULOD - SHELL,RR,Residential - Regular,115.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BANABA SOUTH,GULOD - SHELL,A,Agricultural,41.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BILOGO,GULOD - SHELL,RR,Residential - Regular,55.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BILOGO,GULOD - SHELL,A,Agricultural,21.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BOLBOK,GULOD - SHELL,RR,Residential - Regular,355.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BOLBOK,GULOD - SHELL,A,Agricultural,55.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BUCAL,GULOD - SHELL,RR,Residential - Regular,100.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,BUCAL,GULOD - SHELL,A,Agricultural,51.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,CALICANTO,GULOD - SHELL,RR,Residential - Regular,395.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,CALICANTO,GULOD - SHELL,A,Agricultural,300.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,CATANDALA,GULOD - SHELL,RR,Residential - Regular,70.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,CATANDALA,GULOD - SHELL,A,Agricultural,28.4
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,CONCEPCION,GULOD - SHELL,RR,Residential - Regular,162.5
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,CONCEPCION,GULOD - SHELL,A,Agricultural,75.9
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,CONDE ITAAS,GULOD - SHELL,RR,Residential - Regular,70.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,CONDE ITAAS,GULOD - SHELL,A,Agricultural,30.9
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,CUMBA,GULOD - SHELL,RR,Residential - Regular,60.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,CUMBA,GULOD - SHELL,A,Agricultural,20.9
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,CUTA,GULOD - SHELL,RR,Residential - Regular,350.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,CUTA,GULOD - SHELL,A,Agricultural,80.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,DALIG,GULOD - SHELL,RR,Residential - Regular,35.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,DALIG,GULOD - SHELL,A,Agricultural,5.9
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,DE LA PAZ,GULOD - SHELL,RR,Residential - Regular,40.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,DE LA PAZ,GULOD - SHELL,A,Agricultural,5.9
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,DE LA PAZ (PULOT APLAYA),GULOD - SHELL,RR,Residential - Regular,35.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,DE LA PAZ (PULOT APLAYA),GULOD - SHELL,A,Agricultural,5.9
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,DE LA PAZ (PULOT ITAAS),GULOD - SHELL,RR,Residential - Regular,40.0
raw,"RDO No. 58 - Batangas City, West Batangas is composed of the following Cit",,1993-05-14,,,,B A R A N G A Y S,DE LA PAZ (PULOT ITAAS),GULOD - SHELL,A,Agricultural,5.9
