region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",058-18,"Dec. 14, 2018",4TH,BATANGAS,AGONCILLO,ADIA,ALL STREETS,ALONG BRGY ROAD,RR,Residential - Regular,300.0
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",058-18,"Dec. 14, 2018",4TH,BATANGAS,AGONCILLO,ADIA,ALL STREETS,ALONG BRGY ROAD,A49,Agricultural - A49,90.0
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",058-18,"Dec. 14, 2018",4TH,BATANGAS,AGONCILLO,ADIA,ALL STREETS,ALONG BRGY ROAD,A50,Agricultural - A50,90.0
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",058-18,"Dec. 14, 2018",4TH,BATANGAS,AGONCILLO,ADIA,ALL STREETS,INTERIOR,RR,Residential - Regular,210.0
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",058-18,"Dec. 14, 2018",4TH,BATANGAS,AGONCILLO,ADIA,ALL STREETS,INTERIOR,A49,Agricultural - A49,65.0
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",058-18,"Dec. 14, 2018",4TH,BATANGAS,AGONCILLO,ADIA,ALL STREETS,INTERIOR,A50,Agricultural - A50,65.0
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",,,,BATANGAS,AGONCILLO,ADIA,ALL STREETS,ALONG BRGY ROAD,RR,Residential - Regular,110.0
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",,,,BATANGAS,AGONCILLO,ADIA,ALL STREETS,ALONG BRGY ROAD,A49,Agricultural - A49,20.0
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",,,,BATANGAS,AGONCILLO,ADIA,ALL STREETS,ALONG BRGY ROAD,A50,Agricultural - A50,30.0
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",,,,BATANGAS,AGONCILLO,ADIA,ALL STREETS,INTERIOR,RR,Residential - Regular,70.0
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",,,,BATANGAS,AGONCILLO,ADIA,ALL STREETS,INTERIOR,A49,Agricultural - A49,15.0
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",,,,BATANGAS,AGONCILLO,ADIA,ALL STREETS,INTERIOR,A50,Agricultural - A50,25.0
raw,"RDO NO. 59 - Lipa City, East Batangas is composed of the following Cities",058-18,"Dec. 14, 2018",4TH,BATANGAS,AGONCILLO,BAGONG SIKAT,ALL STREETS,ALONG BRGY ROAD,RR,Residential - Regular,800.0
