region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ALL OTHER STREETS,ALONG BARANGAY ROAD (PROVINCIAL ROAD),,A1,Agricultural - A1,70.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ALL OTHER STREETS,ALONG BARANGAY ROAD (PROVINCIAL ROAD),,A2,Agricultural - A2,50.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ALL OTHER STREETS,ALONG BARANGAY ROAD (PROVINCIAL ROAD),,A16,Agricultural - A16,40.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ALONG PROVINCIAL ROAD,ALL OTHER STREETS,,RR,Residential - Regular,500.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ALONG PROVINCIAL ROAD,ALL OTHER STREETS,,A1,Agricultural - A1,100.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ALONG PROVINCIAL ROAD,ALL OTHER STREETS,,A2,Agricultural - A2,70.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ALONG PROVINCIAL ROAD,ALL OTHER STREETS,,A16,Agricultural - A16,50.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ALONG PROVINCIAL ROAD,ALL OTHER STREETS,INTERIOR,A1,Agricultural - A1,60.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ALONG PROVINCIAL ROAD,ALL OTHER STREETS,INTERIOR,A2,Agricultural - A2,50.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ALONG PROVINCIAL ROAD,ALONG MC.ARTHUR HIGHWAY,,RR,Residential - Regular,1500.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ALONG PROVINCIAL ROAD,LAS VILLAS SUBDIVISION,INTERIOR,RR,Residential - Regular,1500.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ANONAS,ALL OTHER STREETS,,RR,Residential - Regular,500.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ANONAS,ALL OTHER STREETS,,A1,Agricultural - A1,100.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ANONAS,ALL OTHER STREETS,,A2,Agricultural - A2,60.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ANONAS,ALL OTHER STREETS,,A16,Agricultural - A16,50.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ANONAS,ALONG BARANGAY ROAD,,RR,Residential - Regular,750.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ANONAS,ALONG BARANGAY ROAD,,A1,Agricultural - A1,200.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ANONAS,ALONG BARANGAY ROAD,,A2,Agricultural - A2,70.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ANONAS,ALONG NATIONAL ROAD,,RR,Residential - Regular,1500.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ANONAS,ALONG NATIONAL ROAD,,CR,Commercial - Regular,2500.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,ANONAS,GREENVILLE SUBDIVISION,,RR,Residential - Regular,2000.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BACTAD/BACTAD EAST,ALL OTHER STREETS,,RR,Residential - Regular,500.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BACTAD/BACTAD EAST,ALL OTHER STREETS,,A1,Agricultural - A1,60.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BACTAD/BACTAD EAST,ALL OTHER STREETS,,A2,Agricultural - A2,50.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BACTAD/BACTAD EAST,ALL OTHER STREETS,,A16,Agricultural - A16,50.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BACTAD/BACTAD EAST,ALONG (PROVINCIAL ROAD) NATIONAL ROAD,,RR,Residential - Regular,1000.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BACTAD/BACTAD EAST,ALONG (PROVINCIAL ROAD) NATIONAL ROAD,,A1,Agricultural - A1,100.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BACTAD/BACTAD EAST,ALONG (PROVINCIAL ROAD) NATIONAL ROAD,,A2,Agricultural - A2,70.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BACTAD/BACTAD EAST,ALONG (PROVINCIAL ROAD) NATIONAL ROAD,,A16,Agricultural - A16,50.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BACTAD/BACTAD EAST,ALONG BARANGAY ROAD,,RR,Residential - Regular,750.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BAYAOAS EAST,ALL OTHER STREETS,,RR,Residential - Regular,800.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BAYAOAS EAST,ALL OTHER STREETS,,A1,Agricultural - A1,70.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BAYAOAS EAST,ALL OTHER STREETS,,A2,Agricultural - A2,50.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BAYAOAS EAST,ALL OTHER STREETS,,A16,Agricultural - A16,50.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BAYAOAS EAST,ALONG BARANGAY ROAD,,RR,Residential - Regular,1200.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BAYAOAS EAST,ALONG PROVINCIAL ROAD,,RR,Residential - Regular,1800.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BAYAOAS EAST,ALONG PROVINCIAL ROAD,,CR,Commercial - Regular,2000.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BAYAOAS WEST,ALL OTHER STREETS,,RR,Residential - Regular,1000.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BAYAOAS WEST,ALONG BARANGAY ROAD,,RR,Residential - Regular,1300.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BAYAOAS WEST,ALONG PROVINCIAL ROAD,,CR,Commercial - Regular,2500.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BAYAOAS WEST,ALONG PROVINCIAL ROAD,,RR,Residential - Regular,2000.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BOLAOEN,ALL OTHER STREETS,,RR,Residential - Regular,300.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BOLAOEN,ALL OTHER STREETS,,A1,Agricultural - A1,70.0
raw,"RDO No. 6 - Urdaneta City, East Pangasinan is composed of the following C",,,,PANGASINAN,,BOLAOEN,ALL OTHER STREETS,,A2,Agricultural - A2,50.0
