region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 1,ALL OTHER STREETS,POBLACION,RR,Residential - Regular,500.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 1,ALLAREY ST,POBLACION,RR,Residential - Regular,500.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 1,BARCELONA ST,POBLACION,RR,Residential - Regular,630.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 1,DEL PILAR ST,POBLACION,RR,Residential - Regular,630.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 1,HERMANA FAUSTA ST,POBLACION,RR,Residential - Regular,630.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 1,OSMENA ST,POBLACION,RR,Residential - Regular,630.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 1,P. GOMEZ ST,POBLACION,RR,Residential - Regular,550.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 1,QUEZON AVE,POBLACION,CR,Commercial - Regular,2250.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 1,QUEZON AVENUE,POBLACION,RR,Residential - Regular,1100.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 1,RAVANZO ST,POBLACION,RR,Residential - Regular,330.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 1,TRINIDAD ST,POBLACION,RR,Residential - Regular,630.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 11,ENRIQUEZ ST,,RR,Residential - Regular,330.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 11,FAUSTA ST,,RR,Residential - Regular,630.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 11,MERCHAN ST,,RR,Residential - Regular,330.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 11,QUEZON AVENUE,,RR,Residential - Regular,1100.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 11,QUEZON AVENUE,,CR,Commercial - Regular,2250.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 11,RAVANZO ST,,RR,Residential - Regular,330.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 11,RAVANZO ST,,CR,Commercial - Regular,880.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 2,BARCELONA ST,POBLACION,RR,Residential - Regular,630.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 2,C. M. RECTO,POBLACION,RR,Residential - Regular,500.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 2,ENRIQUEZ ST,POBLACION,RR,Residential - Regular,1100.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 2,FAUSTA ST,POBLACION,RR,Residential - Regular,630.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 2,MERCHAN ST,POBLACION,RR,Residential - Regular,600.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 2,MERCHAN ST,POBLACION,CR,Commercial - Regular,1500.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 2,P. GOMEZ ST,POBLACION,RR,Residential - Regular,550.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 2,QUEZON AVENUE,POBLACION,RR,Residential - Regular,1100.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 2,QUEZON AVENUE,POBLACION,CR,Commercial - Regular,2250.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 2,TANDANG SORA,POBLACION,RR,Residential - Regular,500.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 2,TRINIDAD ST,POBLACION,RR,Residential - Regular,630.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 3,ALL OTHER STREETS,,RR,Residential - Regular,500.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 3,ALLAREY ST,,RR,Residential - Regular,550.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 3,ALLAREY ST,,CR,Commercial - Regular,1250.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 3,CABANA ST,,RR,Residential - Regular,630.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 3,CABANA ST,,CR,Commercial - Regular,1750.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 3,GEN. LUCBAN ST,,RR,Residential - Regular,600.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 3,GEN. LUCBAN ST,,CR,Commercial - Regular,1750.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 3,M. H. DEL PILAR ST,,RR,Residential - Regular,550.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 3,M. H. DEL PILAR ST,,CR,Commercial - Regular,1250.0
raw,"RDO No. 60 - Lucena City, North Quezon is composed of the following City a",,,,,,BARANGAY 3,OSMENA ST,,RR,Residential - Regular,500.0
