region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG NATIONAL ROAD,CR,Commercial - Regular,1200.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG NATIONAL ROAD,RR,Residential - Regular,850.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,CR,Commercial - Regular,1000.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,RR,Residential - Regular,700.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A1,Agricultural - A1,30.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A2,Agricultural - A2,20.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A3,Agricultural - A3,15.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A4,Agricultural - A4,30.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A5,Agricultural - A5,20.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A6,Agricultural - A6,35.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A7,Agricultural - A7,10.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A8,Agricultural - A8,10.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A10,Agricultural - A10,10.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A15,Agricultural - A15,10.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A26,Agricultural - A26,15.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A31,Agricultural - A31,50.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A40,Agricultural - A40,900.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A41,Agricultural - A41,10.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A44,Agricultural - A44,10.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,BINAGBAG,ALL LOTS,ALONG BRGY. ROAD,A50,Agricultural - A50,10.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,CR,Commercial - Regular,950.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,RR,Residential - Regular,750.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,A1,Agricultural - A1,25.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,A2,Agricultural - A2,20.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,A3,Agricultural - A3,15.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,A4,Agricultural - A4,25.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,A5,Agricultural - A5,20.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,A10,Agricultural - A10,10.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,A15,Agricultural - A15,10.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,A26,Agricultural - A26,15.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,A31,Agricultural - A31,50.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,A41,Agricultural - A41,10.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,A44,Agricultural - A44,10.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,DAYAP,ALL LOTS,ALONG BRGY. ROAD,A50,Agricultural - A50,10.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,IBABANG KINAGUNAN,ALL LOTS,ALONG NATIONAL ROAD,CR,Commercial - Regular,1200.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,IBABANG KINAGUNAN,ALL LOTS,ALONG NATIONAL ROAD,RR,Residential - Regular,850.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,IBABANG KINAGUNAN,ALL LOTS,ALONG BRGY. ROAD,CR,Commercial - Regular,1000.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,IBABANG KINAGUNAN,ALL LOTS,ALONG BRGY. ROAD,RR,Residential - Regular,700.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,IBABANG KINAGUNAN,ALL LOTS,ALONG BRGY. ROAD,A1,Agricultural - A1,30.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,IBABANG KINAGUNAN,ALL LOTS,ALONG BRGY. ROAD,A2,Agricultural - A2,20.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,IBABANG KINAGUNAN,ALL LOTS,ALONG BRGY. ROAD,A3,Agricultural - A3,15.0
raw,"RDO No. 61 - Gumaca, South Quezon is composed of the following Municipalit",33-2019,,2ND,,AGDANGAN,IBABANG KINAGUNAN,ALL LOTS,ALONG BRGY. ROAD,A4,Agricultural - A4,30.0
